time,ax,ay,az,atotal
1.478,-0.65,-3.80,0.91,3.96
1.488,1.39,-0.09,0.67,1.55
1.498,2.34,0.71,-0.32,2.47
1.507,1.87,-0.09,-0.92,2.08
1.518,1.14,-0.03,-1.37,1.78
1.528,-0.17,0.21,-0.56,0.63
1.538,-1.49,0.46,1.72,2.32
1.548,-1.44,1.22,2.14,2.85
1.557,-1.13,1.79,2.08,2.97
1.568,-0.79,2.36,1.88,3.12
1.578,0.67,2.57,0.42,2.69
1.588,2.00,1.78,-0.02,2.68
1.598,2.65,1.46,0.27,3.04
1.608,2.28,0.93,0.13,2.47
1.617,1.15,0.20,-0.06,1.17
1.628,0.01,-0.31,-0.24,0.39
1.637,-1.02,-0.92,-1.32,1.90
1.647,-1.80,-1.03,-1.64,2.64
1.657,-2.01,-0.15,-0.09,2.02
1.667,-1.31,0.01,-0.73,1.50
1.677,-0.31,-0.06,-2.33,2.36
1.687,0.35,-0.09,-3.10,3.12
1.697,0.58,-0.34,-2.56,2.64
1.707,0.26,-0.92,-1.62,1.88
1.717,-0.15,-1.37,-0.66,1.53
1.727,-0.53,-0.92,0.41,1.13
1.737,-1.38,-0.38,0.46,1.50
1.747,-2.44,-0.09,-0.20,2.45
1.757,-2.97,0.45,-0.34,3.02
1.767,-2.61,1.26,-0.30,2.92
1.777,-1.70,1.39,-0.13,2.20
1.787,-0.57,1.10,1.01,1.60
1.797,0.54,0.43,2.80,2.89
1.807,1.22,0.09,3.60,3.80
1.817,0.99,0.33,3.21,3.38
1.827,-0.15,0.49,2.92,2.96
1.837,-1.11,0.50,2.35,2.65
1.847,-1.72,0.20,1.83,2.52
1.857,-2.23,-0.61,1.63,2.83
1.867,-3.59,-2.98,1.08,4.79
1.877,-3.47,-5.21,1.97,6.56
1.887,-0.32,-3.90,1.20,4.09
1.897,1.22,-2.88,1.41,3.43
1.907,2.25,-2.40,1.24,3.52
1.917,3.38,-1.41,0.95,3.79
1.927,3.80,-0.61,-0.10,3.85
1.937,3.25,-0.78,-1.69,3.75
1.947,2.21,-2.34,-2.95,4.37
1.957,1.09,-3.47,-3.03,4.74
1.967,0.35,-3.95,-2.74,4.82
1.977,0.24,-3.05,-2.01,3.66
1.987,0.03,-2.64,-1.41,3.00
1.997,0.02,-2.05,-1.90,2.80
2.007,-0.23,-0.91,-2.20,2.39
2.017,-1.18,-0.55,-2.22,2.57
2.027,-1.67,0.15,-1.86,2.51
2.037,-1.38,1.41,-0.98,2.20
2.047,0.07,3.05,-1.31,3.32
2.057,-0.54,2.61,0.87,2.81
2.067,0.52,3.52,2.76,4.50
2.077,1.44,3.49,2.58,4.57
2.087,1.01,2.41,3.87,4.67
2.097,1.12,2.34,3.80,4.60
2.107,1.86,2.61,3.38,4.66
2.117,2.76,2.74,1.75,4.26
2.127,3.45,2.69,-0.53,4.41
2.137,3.26,1.94,-1.60,4.12
2.147,3.22,1.19,-1.83,3.89
2.157,4.42,1.78,-0.88,4.84
2.167,5.26,1.79,0.33,5.57
2.177,4.59,0.57,0.72,4.68
2.187,2.73,-0.16,0.63,2.80
2.197,0.90,0.43,0.67,1.20
2.207,-0.58,1.37,0.54,1.58
2.217,-1.32,2.47,0.17,2.81
2.226,-0.51,3.16,0.23,3.21
2.236,1.07,2.71,0.31,2.93
2.246,1.40,1.47,-0.20,2.04
2.256,1.04,0.78,-0.07,1.30
2.267,0.91,0.90,0.38,1.33
2.277,0.68,0.56,0.14,0.90
2.287,-0.63,-0.34,-0.44,0.84
2.296,-1.52,-0.73,-1.08,2.00
2.307,-2.20,-1.57,-1.23,2.97
2.316,-2.40,-2.12,-0.20,3.21
2.326,-2.07,-2.59,0.51,3.36
2.336,-1.93,-2.89,0.39,3.50
2.346,-2.39,-3.03,-0.34,3.88
2.357,-1.92,-2.16,0.64,2.96
2.366,-0.83,-0.95,0.16,1.28
2.376,-1.09,-0.53,0.67,1.38
2.386,-1.24,-0.53,0.85,1.59
2.396,-0.76,-0.83,-0.27,1.16
2.407,-0.28,-1.06,-0.62,1.26
2.416,0.17,-1.30,-0.86,1.57
2.426,0.35,-1.74,-1.48,2.31
2.436,0.37,-1.74,-1.43,2.28
2.446,0.71,-0.60,-1.46,1.73
2.456,1.36,1.27,-1.88,2.64
2.466,0.65,1.50,-1.91,2.52
2.476,-1.34,-1.07,-0.85,1.92
2.486,-0.49,0.79,0.74,1.19
2.496,-0.28,2.28,1.53,2.76
2.506,-1.15,1.24,2.56,3.06
2.516,-1.87,-0.47,3.20,3.74
2.526,-1.33,-0.03,2.63,2.95
2.536,-0.70,0.79,1.53,1.86
2.546,-0.34,0.90,-0.13,0.97
2.556,0.07,0.43,-1.10,1.18
2.566,0.80,-0.00,-0.91,1.21
2.576,1.20,-0.42,-0.94,1.58
2.586,0.66,-1.99,-0.70,2.20
2.596,0.46,-2.22,-0.42,2.31
2.606,0.57,-1.18,-0.74,1.50
2.616,0.52,0.44,-0.26,0.73
2.626,0.38,2.12,-0.26,2.17
2.636,4.01,7.91,-0.07,8.87
2.646,-1.57,0.08,-2.65,3.08
2.656,-3.62,-5.39,-1.01,6.57
2.666,-1.56,-2.92,0.44,3.34
2.676,-0.65,-1.30,0.31,1.48
2.686,-0.22,-1.19,0.76,1.43
2.696,0.79,-0.42,2.46,2.61
2.706,1.29,-0.07,3.45,3.68
2.716,0.99,-0.61,3.64,3.82
2.726,0.49,-1.63,4.04,4.38
2.736,0.16,-2.65,3.71,4.56
2.746,-0.25,-3.56,2.61,4.42
2.756,-0.44,-3.04,1.28,3.33
2.766,-0.81,-1.97,0.72,2.25
2.776,-1.07,-0.74,-0.59,1.43
2.786,-1.05,0.40,-1.12,1.58
2.796,-0.55,1.77,-1.37,2.30
2.806,0.13,2.53,-2.32,3.43
2.816,0.93,2.82,-3.74,4.77
2.826,1.15,2.23,-3.79,4.55
2.836,0.71,1.32,-3.57,3.87
2.846,0.15,1.35,-3.00,3.29
2.856,0.53,2.59,-2.14,3.40
2.866,0.60,2.08,-1.54,2.66
2.875,0.87,1.91,1.18,2.41
2.886,1.11,1.80,2.37,3.18
2.896,0.51,0.44,3.35,3.41
2.906,-0.18,-0.30,2.75,2.78
2.915,-1.19,-1.62,2.02,2.85
2.925,-0.69,0.27,0.88,1.15
2.935,-1.55,-2.13,-0.18,2.64
2.946,-1.18,-2.77,-1.12,3.21
2.955,-0.87,-2.31,-1.44,2.86
2.965,0.23,-1.00,-2.04,2.28
