time,ax,ay,az,atotal
2.336,0.79,1.25,0.29,1.51
2.346,0.25,1.46,1.67,2.23
2.356,0.16,0.78,1.46,1.66
2.366,0.44,0.30,0.78,0.94
2.376,0.75,-0.03,-0.57,0.94
2.386,0.41,-1.26,-1.11,1.73
2.396,0.05,-1.60,-0.48,1.67
2.406,0.32,0.04,-0.33,0.46
2.416,0.52,0.89,-0.78,1.29
2.426,0.63,0.81,-0.46,1.12
2.436,0.17,1.38,0.14,1.39
2.446,0.11,1.59,0.36,1.63
2.456,0.62,0.53,0.33,0.88
2.466,0.82,-1.10,0.22,1.39
2.476,1.31,-0.99,-0.21,1.66
2.486,1.41,-0.49,-0.66,1.63
2.496,0.36,-0.87,-0.02,0.94
2.506,-0.32,-0.84,0.95,1.31
2.516,-0.43,-0.02,1.46,1.52
2.526,-0.10,-0.52,1.48,1.57
2.536,0.36,-2.28,1.75,2.90
2.546,1.38,-2.17,1.17,2.83
2.556,0.54,1.57,-0.94,1.90
2.566,-1.71,4.35,-3.07,5.59
2.576,-2.08,2.66,-2.50,4.20
2.586,-0.97,0.17,-1.18,1.53
2.596,-0.63,-0.85,-0.14,1.07
2.606,-0.02,-0.98,0.18,0.99
2.616,0.83,-0.83,0.40,1.24
2.626,1.33,-0.65,0.11,1.49
2.636,0.82,-1.07,0.75,1.55
2.646,0.36,-1.22,0.34,1.32
2.656,-0.29,-0.57,-1.33,1.48
2.666,-0.60,0.47,-0.52,0.93
2.676,-0.16,0.46,0.37,0.61
2.686,0.49,0.55,1.02,1.26
2.696,0.88,1.07,1.29,1.89
2.706,-0.12,0.76,0.75,1.07
2.716,-0.30,0.93,0.16,0.99
2.726,-0.79,0.70,-0.20,1.08
2.736,-0.79,0.63,-0.14,1.02
2.746,-0.50,0.01,0.22,0.55
2.756,0.00,-0.25,0.03,0.25
2.766,0.65,-0.80,0.09,1.04
2.775,1.00,-0.67,0.49,1.30
2.786,1.21,-1.24,0.47,1.79
2.795,1.26,0.33,-0.44,1.37
2.805,0.34,1.73,-1.22,2.14
2.818,-0.54,2.12,-1.05,2.43
2.826,-1.01,1.73,-0.19,2.01
2.836,-0.39,0.69,0.40,0.89
2.845,0.66,0.65,1.19,1.51
2.855,1.27,0.73,1.08,1.82
2.865,1.41,0.62,0.18,1.56
2.875,1.51,-0.01,-0.21,1.52
2.885,1.46,0.02,-0.30,1.49
2.895,0.84,-0.04,-0.30,0.89
2.905,-0.02,-0.65,0.53,0.84
2.915,-0.62,-1.00,1.13,1.63
2.925,-0.41,-1.03,0.91,1.43
2.935,0.29,-0.84,0.14,0.90
2.945,0.29,-0.56,-0.86,1.07
2.955,-0.56,-0.13,-1.66,1.76
2.965,-1.02,0.37,-1.89,2.18
2.975,-0.42,0.93,-0.87,1.34
2.985,0.44,0.86,0.49,1.08
2.995,0.04,-0.13,1.06,1.07
3.005,0.28,-0.31,1.37,1.43
3.015,0.72,-0.06,1.26,1.45
3.025,0.38,0.36,0.26,0.58
3.035,-0.02,0.90,-0.44,1.00
3.045,0.24,1.06,-0.39,1.15
3.055,0.42,0.86,0.03,0.96
3.065,0.63,0.44,0.47,0.90
3.075,0.63,0.09,0.39,0.75
3.085,0.42,-0.09,0.14,0.45
3.095,0.60,-0.07,-0.08,0.61
3.105,0.57,0.19,-0.48,0.78
3.115,-0.00,0.22,-0.54,0.58
3.125,-0.80,-0.05,-0.11,0.81
3.135,-1.11,-0.39,0.29,1.21
3.145,-1.61,-1.96,0.25,2.55
3.155,0.02,-2.02,-0.90,2.21
3.165,0.82,0.26,3.61,3.71
3.175,-5.34,-1.14,4.68,7.19
3.185,3.93,0.97,-7.32,8.36
3.195,-0.16,0.19,2.35,2.37
3.205,0.17,0.00,-2.58,2.59
3.215,1.23,-0.16,-1.52,1.96
3.225,0.09,-0.52,0.04,0.53
3.235,-0.89,-0.54,-0.50,1.15
3.245,-1.37,-0.33,-0.44,1.48
3.255,-1.28,-0.80,0.45,1.58
3.265,-0.69,-1.01,-1.04,1.60
3.275,-0.40,-0.62,-0.68,1.00
3.285,-0.12,-0.22,0.50,0.56
3.295,0.21,0.29,1.01,1.07
3.305,0.19,0.81,1.45,1.67
3.316,0.47,1.16,1.48,1.94
3.325,0.57,1.26,1.30,1.90
3.335,0.36,1.15,0.43,1.28
3.345,0.16,0.71,-0.59,0.94
3.355,-0.21,-0.20,-0.37,0.46
3.365,-0.10,-0.52,0.45,0.70
3.375,-1.26,-0.95,0.99,1.86
3.385,-0.81,1.01,0.06,1.30
3.394,0.79,2.21,-0.92,2.52
3.405,0.26,1.85,2.04,2.77
3.415,0.11,0.85,2.90,3.02
3.424,0.24,-0.19,2.05,2.07
3.434,0.40,-2.02,0.29,2.08
3.445,1.24,-3.19,-1.28,3.66
3.454,1.21,-0.93,-0.31,1.56
3.465,1.03,-0.77,-0.35,1.34
3.475,0.50,-0.58,-1.05,1.30
3.484,-0.03,-0.26,-1.68,1.70
3.494,-0.24,-0.02,-1.74,1.75
3.504,4.09,0.62,-3.02,5.12
3.514,4.07,-0.34,-5.64,6.96
3.524,-0.80,-0.46,-1.73,1.96
3.534,-0.82,0.84,-0.01,1.17
3.544,-2.32,0.46,1.31,2.70
3.554,-2.96,1.14,2.98,4.35
3.564,-2.89,0.88,3.02,4.28
3.574,-0.78,-0.14,2.40,2.52
3.584,0.16,-0.29,1.51,1.55
3.594,-0.26,-0.07,0.96,1.00
3.604,-0.12,0.00,0.53,0.55
3.614,0.08,0.30,0.50,0.59
3.624,0.05,0.39,0.70,0.80
3.634,0.79,-0.93,0.49,1.31
3.644,1.61,-2.03,-1.33,2.91
3.654,1.37,-2.08,-4.52,5.17
3.664,0.42,-1.78,-6.76,7.00
3.674,-0.13,-1.34,-5.27,5.44
3.684,-0.44,-1.03,-3.46,3.64
3.694,-0.84,-0.92,-1.53,1.97
3.704,-1.86,-1.01,0.78,2.26
3.714,-1.97,-0.87,1.96,2.92
3.724,-1.37,-1.56,2.40,3.17
3.734,0.23,-1.65,2.29,2.83
3.744,1.33,-0.97,2.60,3.08
3.754,1.14,0.08,2.06,2.35
3.764,0.50,0.45,2.06,2.16
3.774,0.34,-0.41,1.98,2.05
3.784,0.12,-1.31,1.81,2.24
3.794,0.03,-2.27,1.62,2.79
3.804,-0.22,-2.91,0.51,2.96
3.814,-0.03,-0.84,0.08,0.85
3.824,0.64,1.09,0.16,1.27
3.834,1.59,-0.76,-0.03,1.76
3.844,1.96,0.36,0.60,2.08
3.854,2.15,0.84,-0.10,2.31
3.864,2.09,-0.51,-0.73,2.27
3.874,1.69,-1.10,-0.40,2.05
3.884,0.53,-1.31,-0.56,1.53
3.894,-0.65,-1.13,-2.23,2.59
3.904,-1.29,0.10,-3.18,3.43
3.914,-2.26,1.10,-3.42,4.24
3.924,-2.09,1.80,-2.13,3.49
3.934,-0.78,2.17,-1.20,2.60
3.944,0.11,0.83,-0.92,1.25
3.954,0.30,-0.12,-0.26,0.42
3.964,-0.06,-0.94,0.13,0.95
3.974,-0.21,-2.52,0.35,2.55
3.984,-0.99,-0.56,-0.06,1.14
3.994,-1.51,1.99,-0.65,2.58
4.004,-0.77,2.68,0.00,2.79
4.014,0.17,2.75,1.12,2.98
4.024,0.65,2.80,0.93,3.02
4.034,0.81,3.02,1.04,3.29
4.044,0.86,2.50,1.00,2.82
4.054,0.90,1.11,0.86,1.67
4.064,0.05,1.12,0.47,1.21
4.073,-0.09,0.70,0.15,0.72
4.084,-0.14,-0.07,0.04,0.16
4.094,0.20,-0.52,0.34,0.65
4.103,0.59,-0.27,0.31,0.72
4.114,0.89,-0.10,-0.07,0.90
4.123,1.50,-0.10,-0.63,1.63
4.133,1.58,0.87,-1.22,2.18
4.143,0.97,1.96,-1.96,2.94
4.153,0.66,1.84,-2.01,2.81
4.163,0.64,1.24,-1.44,2.00
4.173,0.53,0.74,-0.91,1.29
4.183,0.18,0.69,-0.78,1.06
4.193,0.14,-0.07,-0.95,0.96
4.203,0.14,-1.56,-1.23,1.99
4.213,-0.39,-0.67,-0.39,0.86
4.223,-1.00,0.27,-0.00,1.03
4.233,-0.82,0.26,-0.21,0.88
4.243,0.61,-0.09,-0.06,0.62
4.253,1.48,0.16,0.24,1.51
4.263,1.50,-0.07,0.38,1.55
4.273,0.96,0.04,0.37,1.03
4.283,0.36,0.20,-0.08,0.42
4.293,0.18,0.35,-0.77,0.87
4.303,0.04,-0.07,-1.32,1.33
4.313,-0.25,-0.43,-1.43,1.51
4.323,0.18,-0.72,-0.67,1.00
4.333,0.31,-0.35,-0.40,0.61
4.343,0.71,0.06,-0.39,0.81
4.353,1.39,0.24,-0.62,1.54
4.363,1.32,0.80,-0.80,1.74
4.373,0.90,1.12,-0.75,1.63
4.383,0.62,0.59,-0.94,1.27
4.393,0.39,-0.25,-0.97,1.08
4.403,0.23,-0.64,-1.32,1.48
4.413,0.07,-1.27,-1.63,2.07
4.423,0.42,-1.00,-1.04,1.50
4.433,0.38,-0.93,-1.15,1.53
4.443,0.68,-0.85,-1.08,1.53
4.453,1.10,-0.21,-0.55,1.25
4.463,0.84,0.54,-0.36,1.07
4.473,0.40,0.88,-0.24,1.00
4.483,0.17,0.71,0.00,0.73
4.493,0.28,0.01,0.26,0.38
4.503,0.46,-0.85,-0.06,0.97
4.513,0.54,-1.63,-0.25,1.73
4.523,1.09,-2.20,-0.48,2.50
4.533,1.55,-1.46,-1.23,2.46
4.543,1.83,-2.37,-1.48,3.34
4.553,1.83,-1.52,-1.48,2.80
4.563,1.56,-1.03,-2.09,2.80
4.573,1.14,-0.85,-2.27,2.68
4.583,0.97,-0.87,-2.28,2.63
4.593,1.23,-1.93,-2.09,3.10
4.603,1.85,-3.61,-1.61,4.36
4.613,2.40,-3.91,-1.35,4.78
4.623,2.31,-2.67,-1.15,3.71
4.633,2.16,-1.68,-1.09,2.94
4.643,1.93,-0.56,-0.89,2.19
4.653,1.27,0.24,-1.34,1.86
4.663,0.85,-0.53,-1.53,1.83
4.673,0.95,-1.18,-1.30,1.99
4.683,0.99,-1.20,-1.23,1.98
4.693,0.93,-0.67,-1.42,1.83
4.703,1.22,0.77,-1.35,1.97
4.713,1.62,1.90,-1.35,2.84
4.723,1.67,1.66,-1.67,2.88
4.733,1.82,0.94,-1.48,2.53
4.743,1.94,0.53,-1.35,2.42
4.753,1.72,0.21,-1.65,2.39
4.763,1.56,-0.02,-1.70,2.31
4.772,1.71,0.66,-1.67,2.48
4.783,1.89,0.73,-1.94,2.81
4.792,2.08,0.34,-1.91,2.85
4.803,2.37,0.85,-1.67,3.02
4.813,1.89,3.99,-1.59,4.70
4.823,1.39,4.90,-1.48,5.30
4.833,1.19,4.21,-1.55,4.64
4.842,0.59,4.53,-1.64,4.86
4.852,0.09,4.97,-1.13,5.09
4.863,-0.37,5.18,-0.49,5.21
4.873,-0.68,4.64,-0.10,4.69
4.882,-0.51,2.98,-0.08,3.02
4.893,-0.48,1.54,-0.04,1.61
4.903,-0.48,1.06,-0.03,1.17
4.912,-0.47,0.45,-0.26,0.70
4.922,-0.33,-0.51,-0.51,0.79
4.932,-0.03,-0.53,-0.33,0.62
4.942,0.39,0.32,0.06,0.51
4.953,0.46,1.27,0.19,1.37
4.962,0.44,2.02,0.26,2.08
4.972,0.44,2.43,0.69,2.56
4.982,0.31,2.37,0.87,2.55
4.992,-0.11,1.93,0.70,2.06
5.002,-0.98,1.25,1.02,1.89
5.012,-1.82,0.70,1.16,2.27
5.022,-2.33,0.11,0.64,2.42
5.032,-2.59,-0.09,0.05,2.59
5.042,-2.65,0.18,-0.45,2.69
5.052,-2.52,0.09,-0.76,2.63
5.062,-2.21,-0.33,-0.87,2.40
5.072,-1.74,-1.35,-0.93,2.39
5.082,-1.32,-2.70,-1.10,3.20
5.092,-0.91,-4.47,-1.60,4.84
5.102,-0.22,-4.94,-0.85,5.02
5.112,0.20,-3.98,-0.79,4.06
5.122,0.38,-3.48,-1.28,3.73
5.132,0.47,-2.87,-1.30,3.18
5.142,0.47,-2.04,-1.07,2.35
5.152,0.49,-1.17,-0.49,1.36
5.162,0.27,-0.41,0.18,0.53
5.172,-0.31,0.11,0.68,0.75
5.182,-0.95,0.50,0.86,1.38
5.192,-1.78,0.64,0.88,2.08
5.202,-2.40,0.57,0.44,2.51
5.212,-2.61,0.36,-0.06,2.63
5.222,-2.59,-0.23,-0.28,2.62
5.232,-2.42,-0.82,-0.32,2.57
5.242,-2.04,-1.10,-0.18,2.32
5.252,-1.54,-1.00,-0.32,1.86
5.262,-0.97,-0.66,-0.82,1.44
5.272,-0.48,-0.44,-1.48,1.62
5.282,-0.00,-0.46,-2.17,2.22
5.292,0.45,-0.71,-2.70,2.82
5.302,0.85,-1.09,-3.08,3.37
5.312,1.03,-1.37,-3.18,3.61
5.322,1.05,-1.61,-3.02,3.58
5.332,1.24,-1.43,-2.73,3.32
5.342,1.61,-0.56,-2.36,2.91
5.352,1.90,0.73,-1.97,2.83
5.362,2.06,2.17,-1.80,3.49
5.372,2.45,3.20,-1.93,4.46
5.382,2.96,3.13,-2.42,4.93
5.392,3.20,2.68,-3.08,5.19
5.402,2.98,2.26,-3.45,5.08
5.412,2.54,1.96,-3.66,4.87
5.421,2.10,1.88,-3.80,4.73
5.432,1.86,2.07,-3.70,4.63
5.441,1.90,2.09,-3.48,4.48
5.452,1.64,1.91,-2.95,3.88
5.462,1.17,2.10,-2.02,3.14
5.472,1.10,2.78,-0.95,3.14
5.482,1.19,3.24,-0.34,3.47
5.491,1.23,2.84,-0.27,3.11
5.501,0.71,2.02,-0.64,2.23
5.511,0.01,0.95,-1.29,1.60
5.522,-0.65,-0.38,-1.48,1.66
5.531,-1.46,-1.91,-0.91,2.57
5.541,-2.08,-3.19,0.28,3.81
5.551,-2.47,-3.99,1.26,4.86
5.561,-2.73,-4.43,2.20,5.65
5.571,-2.81,-4.49,2.98,6.08
5.581,-2.95,-3.61,3.71,5.96
5.591,-3.07,-1.90,3.81,5.25
5.601,-3.29,0.11,3.15,4.55
5.612,-3.51,1.96,2.29,4.62
5.621,-3.21,3.62,1.86,5.18
5.631,-2.24,5.00,2.34,5.96
5.641,-0.60,6.24,2.88,6.90
5.651,1.56,7.12,3.16,7.95
5.661,2.83,6.87,3.41,8.18
5.671,3.53,4.99,3.17,6.88
5.681,3.96,1.98,2.48,5.08
5.691,3.97,-1.52,1.83,4.63
5.701,4.00,-5.51,0.53,6.83
5.711,3.44,-6.27,0.32,7.15
5.721,3.21,-5.51,-1.16,6.49
5.731,3.19,-5.50,-1.34,6.50
5.741,2.95,-5.20,-0.89,6.04
5.751,2.30,-4.55,-0.69,5.15
5.761,1.80,-3.94,-0.38,4.35
5.771,1.42,-3.77,-0.20,4.03
5.781,1.08,-3.53,0.07,3.69
5.791,0.66,-2.87,0.35,2.96
5.801,0.12,-1.88,0.67,2.00
5.811,-0.46,-0.79,0.96,1.33
5.821,-0.85,0.06,1.11,1.40
5.831,-0.85,0.37,1.01,1.37
5.841,-0.57,0.01,0.78,0.97
5.851,-0.06,-0.47,0.58,0.75
5.861,0.75,-1.01,0.50,1.35
5.871,1.57,-1.61,0.33,2.28
5.881,2.26,-1.96,0.19,3.00
5.891,2.88,-2.04,0.04,3.53
5.901,3.15,-1.26,-0.19,3.40
5.911,3.07,0.51,-0.38,3.13
5.921,3.21,2.08,-0.69,3.89
5.931,3.06,3.74,-1.30,5.01
5.941,3.08,5.18,-2.65,6.58
5.951,2.74,5.59,-3.83,7.32
5.961,1.41,4.79,-4.68,6.85
5.971,0.21,3.88,-4.63,6.04
5.981,0.19,2.55,-4.10,4.83
5.991,1.00,1.11,-3.39,3.71
6.001,1.76,0.53,-2.51,3.11
6.011,1.91,0.37,-1.71,2.59
6.021,1.56,0.65,-0.81,1.87
6.031,0.59,2.14,-0.08,2.22
6.041,-0.77,6.11,0.54,6.18
6.051,-1.88,10.22,0.63,10.41
6.061,-2.34,13.45,-0.93,13.68
6.071,-2.68,10.75,-0.45,11.09
6.081,-3.64,5.29,2.12,6.76
6.091,-3.92,0.49,4.07,5.67
6.101,-3.02,-2.43,5.41,6.66
6.111,-1.97,-3.39,5.85,7.04
6.120,-1.47,-2.71,5.00,5.87
6.130,-0.96,-1.77,3.20,3.78
6.141,-0.23,-1.26,1.59,2.04
6.151,0.37,-1.03,0.38,1.16
6.161,0.03,-1.04,-0.33,1.09
6.171,-1.68,-1.04,-0.28,2.00
6.181,-3.97,-1.00,-0.02,4.09
6.191,-5.00,-0.84,0.10,5.07
6.201,-4.46,-0.83,0.28,4.54
6.210,-3.29,-0.94,0.40,3.45
6.221,-2.34,-1.29,0.58,2.73
6.230,-1.75,-1.93,0.80,2.73
6.240,-1.39,-2.79,0.53,3.16
6.250,-1.00,-3.77,-0.21,3.91
6.260,-0.63,-4.87,-0.89,4.99
6.270,-0.63,-5.85,-1.20,6.01
6.280,-0.94,-6.16,-1.59,6.43
6.290,-1.43,-5.58,-1.85,6.05
6.300,-1.94,-4.21,-1.71,4.94
6.310,-2.24,-2.40,-1.21,3.50
6.320,-2.42,-0.64,-0.50,2.55
6.330,-2.28,0.88,0.13,2.44
6.340,-1.72,1.86,0.51,2.58
6.350,-1.24,2.15,0.56,2.55
6.360,-1.05,2.03,-0.02,2.29
6.370,-0.92,1.81,-0.74,2.16
6.380,-0.83,1.37,-1.25,2.03
6.390,-0.70,0.49,-1.63,1.84
6.400,-0.66,-0.54,-2.06,2.23
6.410,-0.32,-1.31,-2.71,3.03
6.420,0.24,-1.98,-3.44,3.98
6.430,0.89,-2.53,-3.98,4.80
6.440,1.43,-2.73,-4.08,5.11
6.450,1.96,-2.61,-3.94,5.11
6.460,2.72,-2.06,-3.41,4.82
6.470,3.40,-1.04,-2.61,4.41
