time,ax,ay,az,atotal
0.000,0.05,-0.50,-0.00,0.50
0.010,0.23,-0.71,0.15,0.76
0.020,0.28,-0.75,0.16,0.82
0.030,0.06,-0.78,-0.04,0.78
0.040,0.04,-0.70,-0.04,0.70
0.050,0.12,-0.58,0.00,0.59
0.060,0.26,-0.17,0.24,0.39
0.070,0.40,0.22,0.16,0.48
0.080,0.49,-0.08,0.28,0.57
0.090,0.55,-0.48,0.40,0.83
0.100,0.38,-0.79,0.41,0.97
0.110,-0.01,-0.85,0.54,1.01
0.120,-0.41,-0.70,0.81,1.14
0.130,-0.62,-0.79,0.78,1.27
0.140,-0.65,-1.10,0.76,1.48
0.150,-0.57,-1.42,0.85,1.75
0.160,-0.40,-1.91,0.66,2.06
0.170,-0.35,-1.95,0.41,2.02
0.180,-0.45,-1.33,0.31,1.44
0.190,-0.66,-0.19,0.52,0.86
0.200,-0.79,0.45,0.81,1.22
0.210,-1.01,0.32,0.85,1.36
0.220,-1.05,-0.16,1.04,1.49
0.230,-1.00,-0.77,1.43,1.91
0.240,-0.91,-1.46,1.17,2.09
0.250,-0.69,-2.16,0.71,2.37
0.259,-0.45,-2.41,0.46,2.49
0.270,-0.45,-1.81,0.43,1.92
0.280,-0.59,-1.24,0.75,1.57
0.290,-1.11,0.08,0.95,1.47
0.300,-1.12,3.25,1.59,3.79
0.310,-0.77,4.00,1.69,4.41
0.320,0.20,3.44,1.23,3.66
0.330,0.83,1.77,0.22,1.97
0.340,0.95,0.18,0.16,0.98
0.349,0.66,-1.68,0.19,1.81
0.360,0.55,-3.08,0.68,3.21
0.369,0.54,-3.59,1.27,3.85
0.379,-0.01,-3.35,1.05,3.51
0.389,-0.95,-1.36,-0.36,1.70
0.399,-1.78,0.12,-2.98,3.47
0.409,0.42,0.73,-0.70,1.10
0.419,0.70,0.99,-0.28,1.25
0.429,0.48,0.60,0.36,0.85
0.439,0.68,-0.05,1.55,1.70
0.449,0.12,-0.64,0.55,0.85
0.459,-1.28,-0.34,0.63,1.47
0.469,-2.47,-0.08,0.36,2.50
0.479,-3.00,-0.05,2.10,3.66
0.489,-2.07,-0.93,4.79,5.30
0.499,-1.19,-1.46,6.57,6.83
0.509,-0.89,-1.15,9.65,9.76
0.519,-0.76,-0.71,10.97,11.02
0.529,-1.01,-0.32,11.21,11.26
0.539,-1.49,-0.16,10.28,10.39
0.549,-2.77,-0.07,9.48,9.88
0.559,-4.21,0.83,8.43,9.46
0.569,-5.43,1.36,6.22,8.37
0.579,-6.34,2.48,5.84,8.97
0.589,-6.81,3.99,4.46,9.07
0.599,-7.41,5.35,2.88,9.58
0.609,-7.86,6.56,1.58,10.36
0.619,-7.66,7.42,-0.60,10.69
0.629,-7.11,8.75,-1.39,11.36
0.639,-6.23,9.32,-2.63,11.52
0.649,-5.23,8.52,-5.38,11.36
0.659,-4.44,7.10,-6.93,10.87
0.669,-3.94,6.04,-6.71,9.85
0.679,-3.36,5.49,-5.57,8.51
0.689,-2.45,4.78,-6.75,8.63
0.699,-1.56,4.48,-8.07,9.36
0.709,-0.74,4.42,-8.67,9.76
0.719,0.04,4.37,-8.38,9.45
0.729,1.15,3.49,-8.25,9.03
0.739,2.00,2.16,-8.11,8.63
0.749,2.74,1.65,-7.98,8.59
0.759,3.52,1.52,-8.15,9.01
0.769,4.12,1.20,-7.69,8.81
0.779,4.45,0.85,-6.85,8.21
0.789,4.69,0.45,-6.77,8.25
0.799,4.95,0.04,-6.44,8.12
0.809,4.83,0.14,-4.88,6.87
0.819,5.06,1.15,-4.41,6.81
0.829,5.51,1.10,-5.66,7.98
0.839,5.72,0.11,-6.41,8.59
0.849,6.07,-0.35,-6.69,9.04
0.859,6.27,-0.52,-6.39,8.97
0.869,6.77,0.39,-6.94,9.70
0.879,7.11,1.66,-6.77,9.95
0.889,7.10,2.33,-5.42,9.23
0.899,7.00,2.02,-4.24,8.43
0.908,6.63,1.10,-3.27,7.48
0.919,6.09,0.06,-2.04,6.42
0.929,6.62,-0.45,-1.17,6.74
0.939,8.08,-0.93,-1.19,8.22
0.948,5.82,-3.43,-1.50,6.92
0.959,3.38,-5.28,0.52,6.29
0.969,4.96,-3.38,1.27,6.13
0.978,5.49,-2.89,2.75,6.79
0.988,5.57,-3.41,3.20,7.27
0.999,5.41,-4.10,3.97,7.86
1.008,5.05,-3.58,4.93,7.91
1.019,4.27,-1.96,7.40,8.76
1.028,3.25,-0.02,7.16,7.86
1.038,2.06,1.03,3.75,4.40
1.048,-0.38,1.64,2.68,3.17
1.058,-1.57,2.71,1.33,3.41
1.068,-1.72,3.47,-1.84,4.28
1.078,-2.92,2.97,-2.74,4.99
1.088,-3.35,2.42,-2.59,4.87
1.098,-3.41,1.25,-2.66,4.50
1.108,-2.26,0.61,-2.94,3.76
1.118,-1.08,0.11,-3.06,3.24
1.128,-0.48,-0.46,-3.88,3.93
1.138,0.68,-0.43,-4.77,4.84
1.148,1.31,-0.80,-2.78,3.18
1.158,2.86,0.51,-2.93,4.13
1.168,2.57,0.60,-2.42,3.58
1.178,1.03,-1.02,-0.57,1.56
1.188,1.18,-1.77,-0.96,2.34
1.198,-1.17,-5.50,-2.41,6.12
1.208,-3.07,-7.84,1.45,8.55
1.218,-2.52,-7.15,4.13,8.63
1.228,-1.67,-6.75,4.29,8.17
1.238,-0.77,-5.94,2.92,6.67
1.248,-0.64,-5.14,3.82,6.43
1.258,-0.73,-2.74,4.15,5.03
1.268,-0.32,0.12,2.24,2.27
1.278,0.25,1.14,1.45,1.87
1.288,0.57,0.67,0.10,0.89
1.298,1.12,0.58,-0.66,1.42
1.308,1.45,0.71,-0.67,1.75
1.318,1.58,0.54,-0.59,1.77
1.328,1.19,0.03,-0.83,1.45
1.338,0.74,0.71,-0.75,1.27
1.348,0.48,1.54,-0.42,1.66
1.358,0.56,1.51,-0.45,1.67
1.368,0.49,0.89,-0.21,1.04
1.378,0.08,-0.16,-0.37,0.41
1.388,-0.38,-0.68,-0.79,1.11
1.398,-0.72,0.47,-0.05,0.87
1.408,-0.56,1.47,-0.43,1.63
1.418,0.01,1.22,-1.15,1.68
1.428,0.52,0.87,-0.61,1.19
1.438,0.73,0.11,-0.42,0.85
1.448,0.39,-0.69,-0.57,0.98
1.458,-0.33,-1.45,-0.40,1.54
1.468,-0.89,-2.13,-1.05,2.54
1.478,-0.73,-2.45,-2.76,3.76
1.488,0.06,-2.37,-3.26,4.03
1.498,0.36,-1.02,0.57,1.22
1.508,-0.07,0.90,2.26,2.43
1.518,-0.45,0.55,-0.60,0.94
1.528,-1.25,0.22,-0.18,1.28
1.538,-1.06,-0.04,0.55,1.20
1.548,-1.00,-0.63,0.76,1.41
1.558,-1.55,-1.11,0.51,1.97
1.568,-1.74,-0.90,-0.60,2.05
1.578,-0.76,0.02,-1.55,1.73
1.588,1.32,0.44,-1.20,1.84
1.598,3.00,-0.32,-0.61,3.08
1.607,3.15,-0.52,0.45,3.23
1.618,2.52,0.02,1.92,3.16
1.627,1.02,0.49,2.36,2.62
1.637,-0.56,-0.08,1.07,1.21
1.648,-2.00,-0.52,0.37,2.10
1.658,-2.68,-0.37,-1.05,2.91
1.668,-1.55,0.24,-1.60,2.24
1.677,0.56,1.25,0.32,1.41
1.688,1.94,0.42,1.01,2.22
1.698,1.70,-1.32,-0.30,2.18
1.707,1.01,-0.07,-1.55,1.85
1.717,0.44,1.29,-1.89,2.33
1.727,-0.27,1.05,-2.24,2.49
1.737,-0.70,0.51,-2.09,2.26
1.747,0.39,0.40,-1.85,1.93
1.757,1.36,-0.14,-0.44,1.43
1.767,1.40,-0.90,0.36,1.70
1.777,0.84,-0.22,1.67,1.89
1.787,-0.22,-0.06,2.02,2.04
1.797,-1.12,-0.10,1.91,2.22
1.807,-2.14,0.12,1.98,2.92
1.817,-2.53,0.64,1.71,3.12
1.827,-1.92,0.63,1.01,2.26
1.837,-1.56,0.65,0.87,1.90
1.847,-0.38,0.72,0.71,1.08
1.857,1.59,0.96,1.07,2.14
1.867,3.26,1.26,1.97,4.01
1.877,3.70,0.69,2.21,4.36
1.887,2.56,0.17,1.52,2.98
1.897,0.27,-0.08,1.76,1.78
1.907,-1.61,-0.18,0.59,1.73
1.917,-2.08,0.83,-1.43,2.66
1.927,-1.36,1.99,-2.63,3.56
1.937,-0.83,2.05,-2.77,3.55
1.947,-0.64,0.93,-2.10,2.38
1.957,-0.33,-0.84,-1.81,2.02
1.967,-0.05,-2.29,-2.02,3.06
1.977,-0.09,-3.40,-1.72,3.81
1.987,0.10,-3.32,-1.59,3.68
1.998,0.26,-2.72,-1.79,3.26
2.007,-0.44,-2.25,-2.30,3.25
2.017,-1.38,-1.86,-1.53,2.77
2.027,-1.84,-1.64,-0.08,2.47
2.037,-2.16,-1.20,0.83,2.61
2.047,-1.86,-0.10,1.30,2.27
2.057,-0.92,0.91,1.52,2.00
2.067,0.18,1.12,1.21,1.66
2.077,1.18,0.70,0.62,1.51
2.087,1.95,0.96,1.09,2.43
2.097,1.78,0.98,1.93,2.80
2.107,1.08,0.52,2.21,2.51
2.117,0.85,0.59,2.34,2.56
2.127,0.29,0.34,2.60,2.64
2.137,0.03,-0.06,2.41,2.42
2.147,0.75,-0.13,2.36,2.48
2.157,1.45,-1.27,1.61,2.51
2.167,0.69,-2.08,-0.53,2.26
2.177,-0.27,-1.93,-0.91,2.15
2.187,-0.44,-2.10,-1.11,2.42
2.196,-0.52,-1.67,-1.87,2.56
2.207,-0.01,-0.98,-3.13,3.28
2.216,0.18,-0.83,-3.09,3.21
2.227,0.19,-0.85,-1.79,1.99
2.237,-0.09,-0.76,-0.34,0.83
2.247,0.01,-0.85,0.01,0.85
2.257,0.72,-0.30,-0.16,0.80
2.266,0.66,0.67,0.35,1.01
2.276,-0.22,1.00,1.21,1.59
2.286,-1.19,1.49,1.12,2.21
2.297,-0.87,1.42,0.74,1.82
2.306,-0.94,0.64,0.25,1.17
2.317,-0.27,0.85,-1.02,1.35
2.327,0.88,1.42,-1.46,2.22
