time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.00141,-0.6742,1.5382,-8.4001,8.566
3.005964,-2.4706,-0.0103,-5.9221,6.417
3.01845,0.5528,-1.9344,7.0214,7.304
3.019157,1.5308,-1.5666,0.4668,2.239
3.02746,0.6916,3.0729,1.8569,3.656
3.027964,-1.2355,-0.1549,-2.1052,2.446
3.030114,-2.095,-0.7665,-6.3592,6.739
3.034536,-3.7198,-0.1963,-1.9217,4.191
3.043531,0.6452,-1.1208,6.6351,6.76
3.047841,1.4822,-2.8574,-0.6401,3.282
3.051864,1.5615,-0.1188,-2.3146,2.795
3.056335,1.3037,5.2685,2.3118,5.899
3.060066,3.0556,2.9044,8.9131,9.86
3.068655,3.0064,-3.5516,-8.3655,9.573
3.073034,1.3711,-2.7836,1.5343,3.462
3.077596,0.8251,1.5169,8.0585,8.241
3.081528,-0.9462,3.2388,-1.8757,3.86
3.085802,-1.0036,-0.546,0.9059,1.458
3.094258,0.3399,-3.8698,-1.465,4.152
3.098947,0.1742,0.2683,-0.4588,0.559
3.102626,0.2262,2.4897,-1.6508,2.996
3.107269,-1.8138,0.4336,-8.84,9.035
3.110563,0.0318,-1.849,-0.5671,1.934
3.115632,2.1595,0.0204,1.9528,2.912
3.126707,-1.1981,3.2893,0.8151,3.594
3.127895,-2.3652,-2.1303,5.4986,6.354
3.13284,-1.9614,0.1339,1.2607,2.335
3.138022,-2.9228,1.2371,1.2056,3.395
3.140344,-2.4856,1.7302,-2.0584,3.662
3.148382,0.9563,0.681,0.8791,1.467
3.152968,0.6449,-0.5287,-6.7,6.752
3.157267,1.566,-2.4783,0.7468,3.025
3.16151,2.8704,0.8314,5.7966,6.522
3.166415,1.1796,-1.3711,1.9029,2.625
3.169869,-0.105,-1.6849,-2.0535,2.658
3.178409,1.842,2.9355,1.778,3.895
3.182426,-0.3292,5.6059,2.4586,6.13
3.186685,-1.1967,2.376,-2.7439,3.822
3.191558,-0.4635,-2.8571,-11.6427,11.997
3.195022,-0.255,-4.722,-1.4945,4.959
3.204384,4.2556,2.564,16.349,17.087
3.20995,-1.311,0.3789,-10.2435,10.334
3.213015,-2.9603,-1.1821,-6.276,7.039
3.220053,-2.973,-3.3684,0.0132,4.493
3.22102,-2.9579,-1.0633,-5.2568,6.125
3.2284,-3.6755,1.4529,-1.3249,4.168
3.233247,-2.4277,3.0155,9.0249,9.82
3.238565,-0.6546,-0.487,8.4905,8.53
3.24211,3.2642,0.1988,9.0424,9.616
3.245849,3.8534,0.9762,-2.2777,4.581
3.250232,4.0892,1.9962,-3.6632,5.842
3.259306,1.391,0.7449,-10.2865,10.407
3.26273,3.183,-0.881,-1.414,3.593
3.267153,3.0521,-1.3976,-2.001,3.908
3.270796,2.7541,-0.9907,1.3057,3.205
3.275218,0.7327,1.0571,3.1372,3.391
3.284417,-1.4532,0.9659,5.3995,5.674
3.28821,-2.2778,-1.4065,-2.1891,3.458
3.292289,-3.2394,-0.7933,-0.6589,3.4
3.296346,-1.5683,0.6925,-4.2255,4.56
3.300843,-1.37,2.1776,-5.7207,6.273
3.309413,-0.2298,3.7352,2.6425,4.581
3.313354,-1.0313,-1.1163,-4.2174,4.483
3.318781,0.6435,-6.0775,-0.9649,6.187
3.321842,0.9992,-0.9681,10.3205,10.414
3.330971,-0.7939,3.2662,8.6629,9.292
3.331346,-1.545,-0.3053,8.8032,8.943
3.33852,1.9285,0.1932,4.5073,4.906
3.342605,2.2713,-1.1583,-0.9683,2.727
3.3464,6.0445,-3.5121,4.9621,8.573
3.351585,4.3104,-1.1843,-9.8852,10.849
3.355088,2.4737,-0.562,-11.0516,11.339
3.363886,-0.2722,-0.2815,-5.6566,5.67
3.368144,-1.7878,0.4677,-2.8414,3.389
3.372498,-2.4367,1.1939,-6.2377,6.802
3.376485,-1.2451,2.0193,-3.1169,3.917
3.380675,0.8678,0.771,0.0255,1.161
3.384774,0.6603,-2.7175,-3.2126,4.259
3.393376,3.1672,2.5627,9.5676,10.399
3.397716,-0.399,0.4477,10.2725,10.29
3.401938,-0.7844,-3.4375,7.3873,8.186
3.406051,-0.7453,-2.6658,5.5825,6.231
3.410439,-0.7364,2.1917,3.241,3.981
3.419153,1.2259,6.1136,14.6785,15.948
3.42259,2.286,0.1644,4.1007,4.698
3.431069,1.6255,-1.6654,-12.7176,12.929
3.432133,2.1191,-3.3644,-2.3441,4.616
3.435131,3.4945,0.3254,1.2596,3.729
3.444148,1.6709,0.5536,-11.7008,11.832
3.448207,-0.8984,0.7132,-12.5449,12.597
3.452337,-3.0575,0.4403,0.2788,3.102
3.456638,-2.7867,-0.9702,-5.1729,5.955
3.460611,-0.7742,1.4235,-1.3542,2.112
3.464849,-1.7066,2.3958,-5.3327,6.09
3.473356,-3.3932,-0.4126,-10.1955,10.753
3.478636,3.7077,-3.7193,15.7998,16.65
3.481902,3.5577,2.3764,12.8709,13.563
3.486515,1.1435,4.8626,6.5535,8.24
3.491615,-1.135,1.222,-1.8302,2.476
3.498888,-2.183,0.9562,-1.8518,3.018
3.503122,-2.6485,0.7201,-10.6456,10.994
3.507032,-0.6745,-0.0739,-4.106,4.162
3.512193,0.1666,0.8653,-6.9268,6.983
3.514982,0.5282,1.6028,-6.3666,6.586
3.524183,3.7152,-1.1085,4.5927,6.01
3.529297,3.0832,-2.1793,-11.1805,11.801
3.532656,0.4974,-2.4207,0.3391,2.494
3.536704,-0.1316,-0.0833,-0.2967,0.335
3.541661,-1.046,5.3437,4.469,7.044
3.545089,-3.0988,6.592,14.2011,15.96
3.55331,-2.2383,0.8208,1.6871,2.921
3.55848,3.3061,-6.69,14.2108,16.051
3.562232,4.576,-4.2682,12.4874,13.968
3.566918,0.1068,1.5968,-5.7203,5.94
3.570701,-2.8319,2.2366,-6.1508,7.131
3.579178,-4.4929,1.5991,-4.9268,6.857
3.583899,-1.6394,0.1917,-1.2777,2.087
3.587156,-0.1923,0.9137,-5.2391,5.322
3.592217,0.2192,0.1272,-8.3951,8.399
3.595512,-1.408,0.7699,-1.4084,2.135
3.600404,0.4984,-1.9149,7.5331,7.789
3.60925,1.6872,-1.4174,-3.5122,4.146
3.613173,1.7941,-0.1014,-1.3275,2.234
3.616995,0.6329,2.3548,5.6892,6.19
3.62114,1.3984,-0.6547,3.1451,3.504
3.628052,2.5181,0.4547,2.9102,3.875
3.635221,0.2609,0.1261,-1.1937,1.228
3.637983,-1.2987,0.5559,-2.9016,3.227
3.642255,-2.3537,0.2167,-3.361,4.109
3.646382,-1.3185,-0.2349,-2.2035,2.579
3.652178,-0.4057,0.2654,-7.0059,7.023
3.659009,-0.6825,0.4493,-11.0629,11.093
3.663414,1.9193,-0.8927,1.0723,2.373
3.667822,1.5385,2.9919,8.5663,9.203
3.671329,-1.1917,0.9054,4.902,5.125
3.675696,0.1746,-2.3583,-3.2449,4.015
3.680295,2.7172,-3.9888,7.1434,8.621
3.688648,3.9988,1.0063,17.0225,17.515
3.692877,-0.9001,0.6035,-6.154,6.249
3.697111,-2.4384,1.3963,-0.044,2.81
3.701168,-2.2394,-1.2026,3.9115,4.665
3.705461,-0.7349,-2.1742,-2.818,3.634
3.713997,-0.7533,1.4664,-3.5127,3.88
3.720585,-0.4703,3.2043,-0.7783,3.331
3.723493,0.8885,1.1781,-1.36,2.007
3.727367,3.7002,-1.5685,-4.9083,6.344
3.730834,5.3423,-0.2272,-3.1878,6.225
3.739068,2.7473,2.6001,2.6855,4.639
3.746593,-0.6376,1.2171,1.3639,1.936
3.747063,-0.5641,-3.4885,1.2373,3.744
3.752118,-0.4163,-1.3818,3.8996,4.158
3.755387,-1.257,1.4092,-2.8382,3.409
3.760482,-1.9947,1.863,-0.9049,2.875
3.76899,-0.6622,-1.1316,-1.3233,1.863
3.77295,-0.0511,-0.6756,-4.8804,4.927
3.777367,-0.9421,-2.2885,-2.2881,3.37
3.781168,0.4933,-0.0733,-2.8472,2.891
3.785987,2.487,2.5273,2.9215,4.594
3.794237,-0.0053,3.2789,6.2689,7.075
3.79836,-2.7084,1.2262,-3.5986,4.668
3.803388,-1.7313,-0.4236,-2.6175,3.167
3.806679,2.9996,-4.8531,7.2063,9.191
3.812705,5.139,0.6363,15.571,16.409
3.815487,0.3122,2.3273,-0.8443,2.495
3.823257,-2.2359,-0.6091,3.2381,3.982
3.827269,0.5331,2.7794,0.3714,2.854
3.831327,-0.9187,0.7823,-10.7311,10.799
3.836974,-2.2028,-0.3014,-13.4713,13.654
3.840417,1.501,-2.7558,7.0083,7.679
3.848697,5.6019,-0.7591,5.8835,8.159
3.852962,4.7661,-1.4714,-13.6242,14.509
3.857264,3.5587,3.9768,5.9289,7.977
3.861596,1.1117,1.1568,-3.3841,3.745
3.865581,-1.5574,-0.4284,-3.1165,3.51
3.874054,-3.7316,-0.092,-2.2621,4.365
3.878625,-5.3067,0.071,-4.3258,6.847
3.882563,-5.6243,0.6354,4.1699,7.03
3.88697,-3.9929,-0.5818,4.0942,5.748
3.891249,-3.2192,-1.4729,0.988,3.675
3.895435,-3.9666,-1.2542,-3.7881,5.626
3.903866,0.1921,2.1904,1.7592,2.816
3.907327,1.7005,4.1828,2.1171,4.987
3.913165,4.7087,1.7418,3.273,5.993
3.915949,6.4456,-1.33,-3.9606,7.681
3.923238,3.4297,-1.9895,-6.3023,7.446
3.928847,2.9606,-6.108,2.6669,7.293
3.932881,1.0893,-4.7646,13.5602,14.414
3.937302,0.3883,-0.2396,-2.8376,2.874
3.94138,-1.3192,0.5765,-11.9022,11.989
3.945431,-3.4262,1.5435,-6.1627,7.218
3.954095,-0.4251,3.0948,7.0926,7.75
3.958276,-0.1499,1.3424,-6.1708,6.317
3.962802,0.6499,-0.5605,-10.1456,10.182
3.966886,2.3713,1.705,1.8045,3.433
3.971019,0.4882,1.442,2.6309,3.04
3.975134,-0.9694,3.4456,1.188,3.771
3.984483,-1.3517,4.469,8.5119,9.708
3.98763,-1.3725,-0.5918,2.7776,3.154
3.99185,1.2464,-2.9722,4.7827,5.767
3.995909,0.6651,-0.835,1.4024,1.762
4.001975,-1.1532,0.3604,-2.5344,2.808
4.00887,0.5062,1.5849,-0.2576,1.684
4.01317,-0.8527,0.8529,-10.2544,10.325
4.021215,-1.0331,0.3028,-7.8185,7.892
4.022011,-0.9172,0.558,-4.1473,4.284
4.025981,-1.349,-0.2244,-9.3477,9.447
4.032441,-0.9774,-2.0782,-4.267,4.846
4.040506,5.1673,0.3278,5.291,7.403
4.042983,3.3153,0.8509,4.0713,5.319
4.04698,-0.0888,-0.034,4.7392,4.74
4.051532,-2.6453,2.0168,-1.8914,3.826
4.055442,-3.7242,-1.1414,1.2979,4.106
4.063646,-0.1402,-8.6856,18.8319,20.739
4.068253,2.37,0.1511,11.1722,11.422
4.071693,-0.74,1.6444,1.036,2.08
4.077069,0.189,-0.3785,2.2881,2.327
4.080844,-0.7245,-1.5842,-4.5926,4.912
4.089699,-0.6285,-1.391,-9.9941,10.11
4.094251,0.0453,0.9625,-8.1332,8.19
4.097678,-0.2348,1.7061,-4.5931,4.905
4.102034,1.2086,-0.6206,-1.2143,1.822
4.106061,2.9284,-1.8334,-5.7284,6.69
4.113774,2.1366,-0.74,2.7845,3.587
4.12198,-0.6928,0.1247,3.5467,3.616
4.122712,-1.9686,0.0451,2.1025,2.881
4.128435,-0.1304,2.4558,1.446,2.853
4.132968,0.6712,-1.0547,1.5118,1.962
4.135422,1.8199,-1.0587,2.9051,3.588
4.143689,-0.8738,-0.1395,5.3534,5.426
4.147417,-1.3856,-2.7652,-0.4414,3.124
4.152212,-0.0394,-0.1731,0.8717,0.89
4.156008,0.9432,1.6261,-5.7179,6.019
4.161079,-0.5817,3.0334,-5.8209,6.59
