time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.000499,2.9506,3.2253,-0.1282,4.373
3.004949,3.63,-0.6813,1.9872,4.194
3.009088,7.356,-0.1429,24.7989,25.867
3.013319,-0.6633,2.7065,-0.1648,2.791
3.017107,-3.2068,0.5981,6.1856,6.993
3.021724,-2.7071,-1.8098,1.3499,3.525
3.030086,-2.5811,-1.5373,-6.3992,7.069
3.03439,-3.4067,-0.2263,-5.3151,6.317
3.03845,-3.3628,0.678,-3.5658,4.948
3.042522,-0.0461,0.8712,1.1845,1.471
3.046745,2.0785,0.3096,-3.7556,4.304
3.055732,2.7127,-1.4739,-10.5155,10.959
3.059992,2.4791,1.3367,1.0203,2.996
3.065617,4.2685,-1.3021,9.0964,10.132
3.068198,2.5408,0.9433,4.7622,5.479
3.075934,0.5718,2.4244,2.1298,3.277
3.080908,-1.6027,1.7031,-5.4255,5.908
3.084879,-2.5685,-0.9929,-2.0823,3.452
3.089555,-1.3297,-1.367,-2.7952,3.384
3.093635,0.372,-0.0065,3.3894,3.41
3.097593,1.6082,-0.4024,2.7183,3.184
3.101619,-0.2746,-0.5703,-4.7766,4.818
3.111385,-2.4664,0.1363,-6.0879,6.57
3.114814,-3.3666,0.2664,-8.9363,9.553
3.118256,-1.4914,1.4891,-1.8841,2.827
3.122743,1.5166,1.0479,0.9937,2.094
3.126962,5.2194,-2.3345,8.4926,10.238
3.136183,5.2455,1.7496,8.2549,9.936
3.140311,-0.9749,2.3681,2.9353,3.895
3.145041,-3.0569,0.4293,1.0032,3.246
3.148424,-3.0726,0.4737,-4.3617,5.356
3.15355,1.5536,0.8996,7.7647,7.97
3.161957,8.5943,-0.766,1.9141,8.838
3.165759,17.647,-7.3767,-6.0661,20.066
3.17334,2.3006,0.5099,-0.7766,2.481
3.174009,-1.4523,2.384,5.9602,6.582
3.178425,-3.8074,0.9872,-10.4113,11.13
3.1824,-5.5957,-0.1044,-9.0522,10.643
3.190548,-7.0934,-0.7914,-4.6232,8.504
3.195046,-8.1069,-1.5498,-1.0849,8.325
3.19852,-7.0545,0.1032,6.5125,9.602
3.203667,-4.2418,2.0914,14.5032,15.255
3.206789,-3.4481,1.3837,5.1624,6.36
3.216489,-2.0329,0.9288,3.6275,4.261
3.220346,-2.9293,0.5463,-4.263,5.201
3.223967,-0.0081,0.6707,-2.0107,2.12
3.228575,1.6586,0.6797,-6.8191,7.051
3.232294,7.0845,0.4099,0.5333,7.116
3.238294,29.0884,-4.6835,-6.8655,30.252
3.245718,3.392,-3.88,15.7806,16.601
3.249552,-0.7404,0.121,-5.88,5.928
3.254285,-3.3789,0.4503,-12.6734,13.124
3.258303,-6.2613,1.7139,-10.1757,12.07
3.265,-7.6293,1.322,-5.9452,9.762
3.270727,-4.1605,0.2876,7.0135,8.16
3.278981,-4.4621,-0.5252,-4.659,6.472
3.279707,-2.1919,2.0853,1.206,3.257
3.282765,-1.258,2.7251,3.7712,4.82
3.287174,-0.8528,0.4047,1.155,1.492
3.2961,0.6307,2.3093,5.5879,6.079
3.300148,1.2277,2.9026,8.1352,8.724
3.304271,1.9188,0.726,3.3382,3.918
3.308351,2.986,-0.4124,-0.8121,3.122
