time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.000629,0.4632,2.027,3.617,4.172
3.003001,-1.2791,4.143,3.1792,5.377
3.011487,-2.9866,1.6808,-5.8425,6.773
3.015837,-4.0426,-0.867,-8.1994,9.183
3.019527,-4.2777,-1.8756,-5.6583,7.337
3.023566,-0.1117,-1.9919,6.3623,6.668
3.027984,2.0776,-0.6839,0.046,2.188
3.033594,-0.1051,-0.424,-11.2049,11.213
3.041448,0.7399,2.7171,-2.4713,3.747
3.045248,1.8797,0.1811,0.6393,1.994
3.049553,5.6138,-0.9134,4.3892,7.184
3.053526,3.9005,-0.8328,4.8689,6.294
3.058753,1.7269,-1.4683,7.6901,8.017
3.066413,-0.9394,0.1744,-1.6064,1.869
3.070741,-2.175,0.7325,-2.0043,3.047
3.078767,-2.7996,0.5613,-5.6174,6.301
3.07975,-0.1046,3.5321,6.1007,7.05
3.090141,3.7419,-0.9198,17.5716,17.989
3.090742,2.2328,-0.9016,-1.4631,2.818
3.095536,-0.8635,0.7325,-10.2573,10.32
3.09992,-1.8566,-0.9023,-7.6756,7.948
3.103935,-0.6768,-2.0951,2.9144,3.653
3.108897,0.7968,0.6078,-2.6007,2.787
3.112471,-0.8876,0.8172,-10.526,10.595
3.121025,3.8254,0.5475,4.4645,5.905
3.125116,6.2695,0.0991,6.8883,9.315
3.129397,3.1614,0.3031,-3.0976,4.436
3.133491,1.4684,0.7411,1.4921,2.221
3.137881,-0.3535,-0.5056,-5.6863,5.72
3.14693,-2.1002,0.1377,0.4865,2.16
3.15075,-4.4433,0.1924,-2.4395,5.073
3.155409,-5.1893,-0.0692,0.0651,5.19
3.159084,-2.6472,-0.6318,6.1816,6.754
3.163293,1.0703,0.0756,6.6476,6.734
3.167393,0.4814,0.8123,-1.8138,2.045
3.175978,2.6273,0.6223,-0.7902,2.813
3.179798,0.2348,0.7712,-4.7624,4.83
3.1841,1.4072,-0.9458,-2.7131,3.199
3.188143,2.1975,-1.638,-2.5139,3.719
3.195424,3.0336,0.4152,-1.1627,3.275
3.207367,2.3162,3.1405,3.5997,5.309
3.208225,0.0613,0.0186,6.3577,6.358
3.209903,-1.4728,-0.6893,-5.9863,6.203
3.213665,-3.0548,0.7616,-5.497,6.335
3.218679,-0.2828,-2.1893,2.5471,3.371
3.222449,3.7632,-2.9155,7.4816,8.868
3.2307,5.7118,4.2585,12.638,14.508
3.23503,-0.0383,2.0586,-3.5319,4.088
3.239091,-2.8444,0.1652,-2.0965,3.537
3.243649,-3.5442,-0.6448,-2.1362,4.188
3.247502,-3.9501,0.0202,-9.1533,9.969
3.25585,-2.0712,2.3295,-3.9218,5.01
3.260025,0.4188,0.4899,3.6104,3.667
3.263844,4.5046,-2.1066,0.9824,5.069
3.267914,5.5467,-0.2904,-1.493,5.751
3.272996,3.9077,2.4618,-0.4681,4.642
3.281363,0.2779,1.6281,-8.5894,8.747
3.288213,-1.7569,0.4911,-1.1288,2.145
3.290869,-3.5378,-1.7159,1.324,4.149
3.299906,-1.1459,-1.6653,9.3361,9.552
3.300807,1.5244,-0.6171,4.2762,4.582
3.301918,1.0009,-0.3518,-1.7106,2.013
3.310883,-1.6593,-0.0547,-9.5697,9.713
3.315246,-0.4416,2.3928,-6.0915,6.559
3.319476,0.8293,3.9515,-1.1059,4.186
3.323429,-0.4655,1.1155,-0.699,1.396
3.327609,-1.0415,-1.1827,-3.2002,3.567
3.336381,0.5767,-1.7134,-0.904,2.021
3.339835,3.0585,-4.6936,11.5292,12.818
3.344047,3.3369,-1.0308,14.1477,14.572
3.348257,-1.5097,2.2578,-2.6506,3.795
3.353324,-3.156,2.3653,3.5118,5.281
3.361642,-2.424,-1.7162,2.3799,3.806
3.365561,-0.177,-2.6201,-1.7233,3.141
3.370028,-0.0163,1.0778,0.2542,1.107
3.373949,-1.4137,2.3744,-2.9526,4.044
3.379395,-1.299,1.2573,-4.843,5.169
3.382203,2.3046,-0.154,1.0817,2.551
3.390708,2.1297,-0.6974,-8.3504,8.646
3.394882,1.569,-0.1834,-7.1451,7.318
3.399372,1.0024,1.0325,2.6359,3.003
3.40363,1.09,-1.1152,2.6033,3.035
3.40779,1.7096,-0.1267,4.7181,5.02
3.416183,0.5797,0.8431,0.2874,1.063
3.420263,-1.6085,0.2033,-6.865,7.054
3.423952,-2.8207,0.1781,-4.5994,5.398
3.428275,-0.7813,-0.0731,-0.2256,0.817
3.432993,2.8971,0.8365,2.8104,4.122
3.437118,2.7064,-2.215,6.7322,7.586
3.445525,0.5129,-2.3059,6.9916,7.38
3.449964,-1.0589,0.9915,-9.4798,9.59
3.454031,-2.6139,1.8383,-9.9848,10.484
3.458179,-1.8679,-1.9145,4.0236,4.832
3.462443,0.7218,-3.2941,5.3815,6.351
3.471429,4.0792,3.2717,9.8971,11.194
3.476085,3.7855,1.729,8.0568,9.068
3.480803,1.7515,-2.3839,-0.8285,3.072
3.48479,-0.8453,-1.114,-3.2747,3.561
3.491854,-2.41,0.1747,-5.9724,6.443
3.496046,-3.1155,0.0954,-6.6365,7.332
3.499884,4.3494,-0.0405,8.0676,9.165
3.504547,3.7926,-0.8556,0.7668,3.963
3.512904,3.0014,2.6951,3.8301,5.562
3.513526,0.3514,1.6366,-2.5657,3.063
3.517506,-1.9002,0.2796,-1.4921,2.432
3.525949,-3.9167,1.3149,-5.0609,6.533
3.529991,-3.7604,-1.1023,-3.4424,5.216
3.534317,-3.0185,-2.5764,-2.4151,4.646
3.538432,-0.9826,-2.4083,-1.0115,2.791
3.543093,2.2208,0.659,3.9975,4.62
3.551514,2.2195,3.3134,6.9697,8.03
3.555371,2.0082,1.6287,0.1098,2.588
3.559726,-0.3746,-1.6847,-6.7015,6.92
3.563862,-0.925,-2.2112,-1.4914,2.823
3.568711,1.0495,-0.157,-2.5072,2.722
3.577348,4.7665,-2.5267,5.963,8.041
3.580531,4.574,-0.6192,0.6267,4.658
3.585223,1.1709,1.6003,-2.622,3.287
3.588525,-1.4058,0.5825,-9.0409,9.168
3.594879,-2.8302,0.3198,-6.1781,6.803
3.597353,-2.9287,-1.1848,-0.688,3.233
3.60584,-1.0588,-0.4943,-2.2982,2.578
3.61003,1.2808,5.7927,8.0445,9.995
3.614081,1.2893,4.2356,11.1163,11.966
3.620753,-0.7656,-1.1318,2.5863,2.925
3.623226,0.9564,-0.4895,2.0256,2.293
3.631133,1.9968,1.5065,-0.0516,2.502
3.635223,2.8643,0.6554,-1.6173,3.354
3.639646,0.8874,-1.5918,-11.1871,11.335
3.64369,1.4831,-1.0679,1.6081,2.434
3.648215,0.6619,0.6367,3.6891,3.802
3.652286,1.9327,0.4739,5.0373,5.416
3.6605,-0.314,-1.0992,-5.3615,5.482
3.664633,0.8259,1.4033,-2.9544,3.373
3.669432,-1.1069,1.6158,-8.619,8.839
3.673447,-2.1529,1.7005,0.5065,2.79
3.677705,-2.5034,-2.9083,3.9466,5.505
3.688555,-0.5762,1.6993,6.1985,6.453
3.691107,-1.9479,3.6396,0.0281,4.128
3.694868,-2.4814,0.4053,-4.0832,4.795
3.69914,-0.0225,-4.5404,1.4183,4.757
3.70278,1.6565,-0.8802,9.8475,10.025
3.713562,0.294,1.9702,1.9062,2.757
3.715369,0.112,-1.7578,-2.261,2.866
3.719554,2.0509,-0.2391,2.5503,3.281
3.723747,0.2815,-0.116,-4.6085,4.619
3.728269,-1.6996,0.0407,-9.7445,9.892
3.732071,-2.9708,0.5621,-8.6758,9.188
3.740429,-0.9746,-1.8772,4.6549,5.113
3.744431,4.3412,0.8254,5.4302,7.001
3.749738,4.6475,1.3537,-0.0752,4.841
3.753698,4.6333,1.3675,3.2278,5.81
3.757813,0.8184,-0.569,-2.8126,2.984
3.766431,-1.9676,0.8356,-3.6056,4.192
3.770314,-3.5586,0.6353,1.1303,3.787
3.774328,-2.0264,-2.5957,4.0809,5.244
3.781504,1.5701,-2.6193,3.634,4.747
3.784198,4.9955,0.5945,5.1648,7.21
3.793198,3.0093,3.2874,0.0293,4.457
3.795568,0.5467,1.7874,3.7157,4.159
3.800591,-2.0538,1.0824,-6.8812,7.262
3.803945,-1.5709,1.0966,-0.8816,2.109
3.808507,-0.0846,0.6035,-2.0681,2.156
3.812355,-0.1355,-1.5818,-8.448,8.596
3.820457,0.2461,-4.233,-1.1049,4.382
3.824553,-0.0222,-1.1856,8.8222,8.902
3.828706,-2.3851,1.7115,-2.2484,3.698
3.833569,-3.7129,1.6036,-2.4391,4.723
3.838061,-3.3711,-1.1787,-0.2282,3.579
3.846329,-0.7936,-2.0317,0.4938,2.236
3.850524,0.0353,1.6063,3.6801,4.016
3.854846,-1.2903,2.2717,0.0985,2.614
3.859045,1.5371,-0.5124,-0.5121,1.699
3.86361,3.5996,-0.4664,-3.8556,5.295
3.867506,3.4273,1.6953,-4.2464,5.714
3.875452,2.7652,2.1326,-0.0525,3.492
3.881467,2.0123,0.0144,-4.3137,4.76
3.883891,4.9226,0.1911,1.1092,5.05
3.887944,2.4975,-1.0183,1.4915,3.082
3.89211,-0.2667,-0.5016,-4.4711,4.507
3.90076,-1.8249,-0.8243,-6.9926,7.274
3.904828,-1.183,2.259,1.4436,2.93
3.909324,0.2334,2.8883,9.6301,10.057
3.913502,0.8424,-2.9344,12.2212,12.597
3.917705,-0.5406,0.9173,4.9741,5.087
3.926304,-2.3509,1.8472,1.5814,3.382
3.930762,-2.6772,1.8977,-4.9001,5.897
3.935096,-1.4874,-1.2596,-5.4448,5.783
3.938422,-0.8937,-1.6938,-7.8122,8.044
3.943566,2.7967,0.7995,1.7998,3.421
3.947591,4.0614,2.6838,3.9269,6.255
3.955547,1.521,-0.438,-10.6268,10.744
3.960569,2.2876,-3.1587,-0.0252,3.9
3.964347,1.5526,-0.2525,1.3518,2.074
3.968694,-0.4223,1.2232,-3.1997,3.452
3.972711,-2.5721,2.1948,-2.8075,4.395
3.981118,-4.3608,1.9204,-1.7332,5.07
3.984862,-2.5201,-1.1519,5.5387,6.193
3.989765,1.4493,-1.9297,3.7234,4.437
3.993491,2.8064,0.5053,0.2402,2.862
3.997776,1.0722,1.1566,-1.8137,2.404
4.006025,-1.6874,0.7731,-4.0664,4.47
4.011128,-1.3781,2.2721,-3.3164,4.25
4.014673,-2.1344,1.4723,-6.5137,7.011
4.019098,0.4724,-1.9111,-0.8315,2.137
4.023299,4.088,-2.2567,4.9901,6.834
4.027966,4.0937,1.118,8.827,9.794
4.036873,-0.922,-0.565,3.0558,3.241
4.040621,-2.4612,0.7241,-1.0874,2.786
4.045485,-2.644,2.2562,-1.8055,3.917
4.048473,-2.9521,0.0575,-3.6592,4.702
4.052836,-0.162,-1.6464,-1.0549,1.962
4.060877,2.8109,-4.1537,2.2045,5.478
4.065085,8.3039,0.2435,19.5396,21.232
4.070156,1.6061,2.6633,-0.0698,3.111
4.074678,-0.7238,1.922,-3.3055,3.892
4.078767,-1.0024,-0.1519,-5.7336,5.823
4.082375,-0.8083,-1.5659,-5.6576,5.926
4.091716,-0.4995,-0.8097,-3.8561,3.972
4.09533,0.2517,2.1882,2.9088,3.649
4.100547,-2.2119,1.295,-2.4363,3.536
4.104119,-1.5987,-1.597,-1.5071,2.716
4.110259,-0.6119,-1.6133,-5.9321,6.178
4.116016,1.6965,1.8461,2.4995,3.54
4.120095,2.9976,1.7218,3.4618,4.892
4.124457,2.8776,-0.6507,-3.8815,4.875
4.128636,2.0248,-1.7186,-3.4707,4.37
4.132676,0.3297,-1.1869,-4.2023,4.379
4.140888,-1.1911,0.0778,-0.2486,1.219
4.145,2.0786,4.282,5.7208,7.442
4.149527,2.2159,2.4015,1.7298,3.697
4.153982,-0.1438,-0.5963,1.4546,1.579
4.158147,0.2734,-1.4848,2.7446,3.132
4.162602,-1.0803,-2.0138,0.5998,2.363
4.170955,-2.0148,1.6977,1.4985,3.031
4.175263,-2.3,2.0099,-4.7906,5.682
4.178963,-2.6046,0.2403,-5.8512,6.409
4.183813,-0.6294,-2.977,-1.1704,3.26
4.188016,2.0843,-1.7353,4.0954,4.912
4.198858,8.1305,5.7143,21.0078,23.24
4.201242,0.9421,-0.3383,-2.8002,2.974
4.210814,-0.6133,-2.7336,2.278,3.611
4.21171,-1.1444,-1.3697,-2.3592,2.958
4.212956,-1.8088,0.8876,-6.95,7.236
4.221023,-2.4369,1.6499,-6.077,6.752
4.225237,-0.4451,3.2102,0.4216,3.268
4.229777,-0.5536,-0.4841,-3.0033,3.092
4.233972,3.6218,-2.3292,0.6903,4.361
4.238733,3.7057,-0.2526,1.288,3.931
4.242465,1.363,1.4972,0.3105,2.048
4.250822,-0.9293,2.5647,-1.8101,3.274
4.255525,-3.3796,1.2313,-5.4155,6.501
4.259102,-2.1471,-1.7118,-0.1285,2.749
4.26406,0.2443,-1.0849,0.1037,1.117
4.267712,1.3075,1.6537,2.5348,3.297
4.276378,0.4244,-1.4351,-3.3121,3.635
4.28233,3.2855,1.5882,9.5036,10.18
4.285287,-1.475,1.2098,-2.4254,3.086
4.291829,-0.5262,0.1293,-0.7483,0.924
4.293114,1.3567,-0.7288,-2.0132,2.535
4.296933,1.2321,-0.5259,-4.8808,5.061
4.305196,-0.7827,-1.116,-5.6133,5.776
4.309651,1.035,-2.7765,2.2254,3.706
4.3142,-0.1565,-1.6186,-0.0132,1.626
4.318748,-0.8098,0.1384,0.6352,1.038
4.322694,-1.8215,1.3752,-1.5314,2.749
4.331439,0.4035,1.5055,6.6564,6.836
4.335321,7.0262,1.0106,18.798,20.094
4.338986,3.1353,1.2415,7.5383,8.258
4.343495,-0.834,1.7981,2.8465,3.469
4.34828,-2.9231,1.7448,-4.5429,5.677
4.356355,-3.7896,0.8166,-7.679,8.602
4.360689,-1.9376,-1.314,-3.3521,4.089
4.365545,1.0486,-0.2421,-2.753,2.956
4.368886,0.4612,0.01,-10.1075,10.118
4.373038,0.5138,-1.4992,-7.6608,7.823
4.377143,0.5627,-2.5074,-0.3434,2.593
4.385435,-1.1411,-2.2603,-10.9137,11.204
4.389892,0.0071,0.9185,3.6941,3.807
4.394127,2.2142,3.8975,8.3889,9.511
