time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005011,-0.2053,0.0320,-0.2250,0.306
0.005187,-0.3338,0.0162,-0.1678,0.374
0.006816,-0.2804,-0.0561,-0.0170,0.286
0.015563,-0.0263,-0.0794,0.0828,0.118
0.019427,0.1461,-0.0106,0.1086,0.182
0.023615,0.1341,-0.0703,0.1812,0.236
0.028179,0.0628,-0.2046,0.3206,0.385
0.031663,-0.0437,-0.3552,0.4788,0.598
0.036295,-0.1110,-0.3991,0.5849,0.717
0.044848,-0.1295,-0.3383,0.6424,0.738
0.048807,-0.1257,-0.3170,0.7109,0.788
0.053261,-0.0636,-0.2165,0.7648,0.797
0.057364,-0.0031,-0.1047,0.7863,0.793
0.061237,0.0121,-0.0048,0.8147,0.815
0.069998,-0.0336,0.0172,0.8371,0.838
0.074361,-0.1252,-0.0005,0.8573,0.866
0.078392,-0.1881,-0.0447,0.8506,0.872
0.082646,-0.1583,-0.0612,0.8163,0.834
0.089998,-0.0618,-0.0635,0.7540,0.759
0.096149,0.0153,-0.0756,0.6450,0.650
0.099440,0.0433,-0.0792,0.5420,0.550
0.103241,0.0214,-0.1378,0.4515,0.473
0.108166,-0.0293,-0.1564,0.4007,0.431
0.111981,-0.0757,-0.1860,0.3455,0.400
0.116450,-0.0996,-0.2185,0.2793,0.368
0.124921,-0.0722,-0.2034,0.2009,0.295
0.129184,-0.0517,-0.1650,0.0643,0.184
0.133316,-0.0319,-0.1128,-0.0689,0.136
0.137566,-0.0199,-0.0695,-0.2008,0.213
0.141286,-0.0011,-0.0258,-0.2769,0.278
0.149713,0.0057,-0.0013,-0.3884,0.388
0.154506,0.0072,0.0250,-0.4709,0.472
0.158859,-0.0049,0.0470,-0.4978,0.500
0.162804,0.0054,0.0683,-0.5453,0.550
0.167387,-0.0220,0.1127,-0.7357,0.745
0.171595,-0.0108,0.1571,-0.8402,0.855
0.182217,0.0242,0.1381,-0.9663,0.976
0.184285,0.0185,0.1489,-1.1703,1.180
0.188699,0.0248,0.1657,-1.2626,1.274
0.192475,0.0530,0.1203,-1.2166,1.224
0.197203,0.0675,0.0860,-1.0288,1.035
0.205751,0.0482,0.0353,-0.8375,0.840
0.209157,0.0048,0.0029,-0.7149,0.715
0.213291,-0.0148,-0.0012,-0.6244,0.625
0.217691,-0.0039,-0.0188,-0.4596,0.460
0.221384,0.0153,-0.0299,-0.4028,0.404
0.229819,-0.0367,0.0105,-0.3490,0.351
0.234442,-0.0383,0.0100,-0.2674,0.270
0.238591,-0.0064,-0.0208,-0.1715,0.173
0.243009,-0.0082,-0.0087,-0.0958,0.097
0.246896,-0.0148,-0.0069,-0.0443,0.047
0.251204,0.0006,-0.0379,0.0733,0.083
0.259516,-0.0044,-0.0442,0.1346,0.142
0.263946,-0.0317,-0.0533,0.2165,0.225
0.268152,-0.0321,-0.0660,0.3071,0.316
0.272294,-0.0247,-0.0721,0.3702,0.378
0.276746,-0.0323,-0.0801,0.4367,0.445
0.285068,-0.0488,-0.0901,0.4844,0.495
0.289366,-0.0522,-0.1161,0.5309,0.546
0.293366,-0.0636,-0.1232,0.5587,0.576
0.297460,-0.0607,-0.1375,0.5716,0.591
0.301176,-0.0513,-0.1433,0.5787,0.598
0.305394,-0.0456,-0.1426,0.5680,0.587
0.315134,-0.0408,-0.1344,0.5650,0.582
0.318692,-0.0351,-0.1269,0.5266,0.543
0.322947,-0.0299,-0.1189,0.4882,0.503
0.327304,-0.0369,-0.1116,0.4415,0.457
0.331212,-0.0321,-0.0969,0.4018,0.415
0.339744,-0.0392,-0.0774,0.3467,0.357
0.343603,-0.0415,-0.0630,0.2713,0.282
0.348529,-0.0515,-0.0495,0.1982,0.211
0.352494,-0.0386,-0.0472,0.1268,0.141
0.357200,-0.0257,-0.0423,0.0457,0.067
0.365194,-0.0155,-0.0419,-0.0310,0.054
0.369298,-0.0148,-0.0385,-0.0972,0.106
0.373737,-0.0066,-0.0427,-0.1802,0.185
0.377462,-0.0093,-0.0313,-0.2330,0.235
0.382903,-0.0036,-0.0170,-0.3027,0.303
0.385612,-0.0018,-0.0099,-0.3666,0.367
0.394781,0.0118,-0.0062,-0.4204,0.421
0.398706,0.0075,0.0036,-0.4503,0.450
