time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001880,0.0860,-0.0206,-0.3703,0.381
0.002987,0.0276,0.0036,-0.2402,0.242
0.007412,-0.0411,0.0228,-0.1125,0.122
0.011723,-0.0733,0.0542,-0.0599,0.109
0.015787,-0.1255,0.0906,0.0180,0.156
0.024393,-0.1343,0.0959,0.1015,0.194
0.028690,-0.0786,0.0937,0.1825,0.220
0.032918,-0.0434,0.0539,0.2850,0.293
0.037153,-0.0337,0.0009,0.3589,0.361
0.041203,-0.0228,-0.0531,0.4255,0.429
0.045442,-0.0179,-0.1194,0.4736,0.489
0.053436,0.0171,-0.1549,0.5154,0.538
0.062246,0.0377,-0.1514,0.5261,0.549
0.062529,0.0581,-0.1380,0.5394,0.560
0.071515,0.0667,-0.1160,0.5535,0.569
0.071815,0.0453,-0.1062,0.5664,0.578
0.079320,0.0162,-0.0844,0.5747,0.581
0.083345,-0.0329,-0.0551,0.5655,0.569
0.087145,-0.0687,-0.0368,0.5392,0.545
0.091994,-0.0879,-0.0163,0.4919,0.500
0.095744,-0.0826,-0.0006,0.4303,0.438
0.105126,-0.0727,0.0110,0.3643,0.372
0.108843,-0.0789,0.0068,0.2788,0.290
0.113195,-0.0552,-0.0034,0.1957,0.203
0.117070,-0.0337,-0.0108,0.1081,0.114
0.121209,-0.0135,-0.0253,0.0125,0.031
0.125420,0.0202,-0.0293,-0.0688,0.077
0.133723,0.0466,-0.0417,-0.1477,0.160
0.138418,0.0642,-0.0334,-0.2124,0.224
0.142564,0.0513,-0.0276,-0.2352,0.242
0.146814,0.0644,-0.0217,-0.2840,0.292
0.151041,0.0323,0.0148,-0.3982,0.400
0.162426,0.0007,0.0499,-0.4754,0.478
0.163907,-0.0069,0.0719,-0.5574,0.562
0.168276,0.0208,0.0945,-0.5449,0.553
0.172750,-0.0036,0.1109,-0.5631,0.574
0.176198,-0.0226,0.1150,-0.5627,0.575
0.181124,-0.0201,0.0986,-0.5321,0.542
0.190568,-0.0049,0.0734,-0.4920,0.497
0.193083,0.0113,0.0605,-0.4593,0.463
0.197366,0.0167,0.0415,-0.4059,0.408
0.202172,0.0356,0.0211,-0.3309,0.333
0.205885,0.0368,0.0049,-0.2457,0.249
0.214155,0.0451,-0.0256,-0.1335,0.143
0.218142,0.0412,-0.0265,-0.1370,0.145
0.222923,0.0055,-0.0143,-0.0443,0.047
0.226713,0.0008,-0.0081,0.0068,0.011
0.231526,0.0134,0.0026,0.0791,0.080
0.239850,-0.0007,-0.0093,0.1468,0.147
0.243588,-0.0200,-0.0024,0.2099,0.211
0.248406,-0.0431,-0.0101,0.2862,0.290
0.252078,-0.0523,-0.0195,0.3207,0.326
0.256516,-0.0431,-0.0169,0.3525,0.355
0.260580,-0.0309,-0.0283,0.3741,0.376
0.268935,-0.0219,-0.0418,0.4057,0.408
0.274552,-0.0011,-0.0445,0.4061,0.409
0.277495,-0.0034,-0.0579,0.4240,0.428
0.281689,-0.0072,-0.0729,0.4138,0.420
0.285390,-0.0087,-0.0668,0.4049,0.410
0.293756,-0.0070,-0.0621,0.3995,0.404
0.297890,0.0006,-0.0688,0.3524,0.359
0.302738,-0.0104,-0.0503,0.3205,0.325
0.306972,-0.0152,-0.0352,0.2783,0.281
0.311214,-0.0149,-0.0258,0.2302,0.232
0.315320,-0.0225,-0.0237,0.1801,0.183
0.323737,-0.0134,-0.0085,0.1211,0.122
0.327497,-0.0162,-0.0034,0.0751,0.077
0.332168,-0.0125,0.0010,0.0172,0.021
0.336234,-0.0102,0.0112,-0.0365,0.040
0.340820,0.0004,0.0033,-0.0933,0.093
0.349314,-0.0028,0.0069,-0.1385,0.139
0.353207,0.0136,0.0011,-0.1840,0.185
0.357575,0.0189,0.0110,-0.2167,0.218
0.362084,0.0186,0.0093,-0.2552,0.256
0.366542,0.0253,0.0279,-0.3264,0.329
0.374000,0.0143,0.0376,-0.3741,0.376
0.378340,0.0206,0.0441,-0.3851,0.388
0.382841,0.0209,0.0473,-0.4006,0.404
0.387166,0.0202,0.0479,-0.3967,0.400
0.391096,0.0062,0.0457,-0.3824,0.385
0.395678,0.0051,0.0477,-0.3685,0.372
0.404029,0.0071,0.0325,-0.3225,0.324
0.408053,-0.0057,0.0344,-0.2735,0.276
0.412520,-0.0004,0.0282,-0.2312,0.233
0.416365,0.0082,0.0246,-0.1706,0.173
0.420801,0.0040,0.0093,-0.1503,0.151
0.429227,-0.0043,0.0121,-0.0982,0.099
0.433598,-0.0097,0.0001,-0.0538,0.055
0.437604,0.0094,-0.0041,-0.0126,0.016
0.442024,0.0069,-0.0043,0.0472,0.048
0.445632,0.0075,-0.0091,0.0926,0.093
0.454182,-0.0055,-0.0145,0.1323,0.133
0.459532,-0.0108,-0.0280,0.1872,0.190
0.463192,-0.0210,-0.0163,0.2119,0.214
0.469663,-0.0129,-0.0139,0.2461,0.247
0.471293,-0.0080,-0.0282,0.2740,0.276
0.476089,-0.0064,-0.0374,0.2836,0.286
0.483759,-0.0143,-0.0353,0.3109,0.313
0.488241,-0.0241,-0.0339,0.3098,0.313
0.493344,-0.0262,-0.0341,0.3096,0.313
0.496438,-0.0158,-0.0329,0.3040,0.306
0.500988,-0.0094,-0.0357,0.2887,0.291
0.509551,-0.0146,-0.0285,0.2730,0.275
0.513806,-0.0074,-0.0260,0.2412,0.243
0.517763,-0.0111,-0.0238,0.2163,0.218
0.521831,-0.0082,-0.0222,0.1759,0.177
0.525757,-0.0102,-0.0223,0.1357,0.138
0.530154,-0.0070,-0.0137,0.0841,0.085
