time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003935,0.1708,0.1455,-0.6468,0.685
0.004154,0.2055,0.2535,-0.6021,0.685
0.017009,0.1451,0.2482,-0.4482,0.533
0.017270,0.0918,0.2867,-0.3609,0.470
0.021070,0.1901,0.2666,-0.3180,0.456
0.024974,0.3844,0.2184,-0.2136,0.491
0.029671,-0.0607,0.3260,-0.5165,0.614
0.033302,-0.4468,0.1416,-0.4268,0.634
0.041463,-0.3379,-0.0694,-0.0344,0.347
0.047612,0.2695,0.1581,-0.0082,0.313
0.050209,0.7338,0.3199,0.1148,0.809
0.056029,0.5883,0.2120,0.2224,0.664
0.058811,0.1330,0.0055,0.3020,0.330
0.067233,-0.1567,-0.0863,0.2416,0.301
0.072396,-0.0836,-0.1599,0.1931,0.264
0.075343,0.0649,-0.1874,0.2916,0.353
0.080017,0.0392,-0.1996,0.2999,0.362
0.084137,-0.1157,-0.2079,0.3526,0.425
0.092503,-0.1927,-0.2462,0.4699,0.564
0.096928,-0.0743,-0.1720,0.5472,0.578
0.100971,-0.0152,-0.0232,0.5072,0.508
0.105321,-0.0882,0.0193,0.4790,0.487
0.109279,-0.1242,-0.0365,0.5688,0.583
0.113735,-0.0743,-0.0329,0.5262,0.532
0.125110,-0.0633,-0.0337,0.4127,0.419
0.125696,-0.1421,-0.1906,0.3417,0.416
0.130234,-0.1512,-0.3161,0.2958,0.459
0.134546,-0.0671,-0.2764,0.1555,0.324
0.138932,0.0356,-0.2149,0.0584,0.225
0.147001,0.0959,-0.1791,0.0797,0.218
0.151230,0.0948,-0.0692,0.0649,0.134
0.155545,0.0813,0.0319,0.0299,0.092
0.159490,0.0792,0.0910,0.0246,0.123
0.164173,0.0513,0.1275,-0.0030,0.137
0.168313,0.0022,0.1705,-0.0887,0.192
0.176625,-0.0735,0.1548,-0.1948,0.259
0.181247,-0.1044,0.1037,-0.2296,0.273
0.185323,-0.0067,0.0339,-0.2498,0.252
0.189441,0.1834,0.0216,-0.2973,0.350
0.193561,0.0974,0.0183,-0.5281,0.537
0.201943,0.0436,-0.0120,-0.4645,0.467
0.209209,0.0482,-0.0182,-0.4831,0.486
0.211058,0.1934,0.0873,-0.4591,0.506
0.221671,0.3057,0.1696,-0.3809,0.517
0.222034,0.2169,0.1567,-0.3383,0.431
0.227546,0.0490,0.1427,-0.3074,0.342
0.231602,-0.1302,0.0902,-0.3608,0.394
0.235820,-0.1230,0.0552,-0.3337,0.360
0.239480,-0.0821,0.0244,-0.3175,0.329
0.244238,-0.0500,-0.0116,-0.2805,0.285
0.248281,0.0142,-0.0455,-0.1934,0.199
0.257007,0.0771,-0.0764,-0.1516,0.186
0.261176,0.1271,-0.0589,-0.1212,0.185
0.265311,0.1074,-0.0478,-0.0897,0.148
0.269542,0.0827,-0.0400,-0.0324,0.097
0.273651,0.0393,-0.0184,0.0179,0.047
0.281688,0.0110,0.0145,0.0783,0.080
0.286516,0.0017,0.0282,0.1279,0.131
0.290492,-0.0167,0.0183,0.1862,0.188
0.295019,-0.0373,0.0275,0.2250,0.230
0.298971,-0.0435,0.0243,0.2442,0.249
0.303621,-0.0266,-0.0121,0.2546,0.256
0.311767,-0.0069,-0.0436,0.2801,0.284
0.315944,0.0141,-0.0594,0.2679,0.275
0.320438,0.0294,-0.0711,0.2666,0.278
0.324374,0.0214,-0.0897,0.2661,0.282
