time,gFx,gFy,gFz,TgF
0.000877,0.4898,-0.0786,0.9444,1.067
0.001033,0.5044,-0.0606,0.9513,1.078
0.002641,0.5294,-0.0415,0.9552,1.093
0.006689,0.5450,-0.0317,0.9405,1.087
0.006797,0.5455,-0.0293,0.9215,1.071
0.008825,0.5391,-0.0278,0.9234,1.070
0.010737,0.5337,-0.0210,0.9435,1.084
0.013731,0.5235,-0.0146,0.9571,1.091
0.014873,0.5118,-0.0073,0.9610,1.089
0.017047,0.5025,-0.0005,0.9703,1.093
0.019568,0.4957,-0.0029,0.9864,1.104
0.022403,0.4913,-0.0117,1.0069,1.120
0.024307,0.4932,-0.0137,1.0235,1.136
0.025717,0.4942,-0.0122,1.0304,1.143
0.027969,0.4888,-0.0127,1.0216,1.133
0.030627,0.4849,-0.0122,1.0089,1.119
0.032125,0.4839,-0.0098,0.9972,1.108
0.034130,0.4830,-0.0063,0.9889,1.101
0.036203,0.4830,-0.0088,0.9811,1.094
0.038449,0.4844,-0.0132,0.9713,1.085
0.040675,0.4908,-0.0137,0.9635,1.081
0.042574,0.4996,-0.0122,0.9615,1.084
0.044706,0.5059,-0.0142,0.9645,1.089
0.049204,0.5044,-0.0225,0.9649,1.089
0.049371,0.5049,-0.0283,0.9693,1.093
0.050992,0.5079,-0.0313,0.9742,1.099
0.052877,0.5113,-0.0327,0.9762,1.102
0.055058,0.5137,-0.0356,0.9747,1.102
0.057357,0.5181,-0.0352,0.9708,1.101
0.059366,0.5225,-0.0332,0.9645,1.097
0.061639,0.5250,-0.0278,0.9557,1.091
0.063670,0.5264,-0.0225,0.9469,1.084
0.065807,0.5279,-0.0205,0.9322,1.072
0.067880,0.5279,-0.0146,0.9171,1.058
0.070144,0.5259,-0.0083,0.9039,1.046
0.074067,0.5225,-0.0073,0.9010,1.042
0.074422,0.5181,-0.0112,0.9176,1.054
0.076306,0.5181,-0.0039,0.9015,1.040
0.078455,0.5210,0.0083,0.8751,1.019
0.081346,0.5220,0.0190,0.8687,1.014
0.082631,0.5352,0.0205,0.9317,1.075
0.084727,0.5235,0.0181,0.9562,1.090
0.087472,0.5328,0.0635,0.7721,0.940
0.088955,0.5460,0.0752,0.6260,0.834
0.090902,0.5294,0.0879,0.6148,0.816
0.092825,0.5010,0.0801,0.6251,0.805
0.095073,0.4932,0.0640,0.5987,0.778
0.097375,0.4932,0.0649,0.5469,0.739
0.099306,0.4883,0.0674,0.5250,0.720
0.101270,0.4859,0.0669,0.5333,0.725
0.106755,0.4961,0.0581,0.5440,0.739
0.106872,0.5074,0.0527,0.5430,0.745
0.108131,0.5025,0.0610,0.5396,0.740
0.110011,0.4908,0.0566,0.5386,0.731
0.112878,0.4849,0.0391,0.5479,0.733
0.114284,0.4859,0.0347,0.5587,0.741
0.116390,0.4922,0.0396,0.5626,0.749
0.118437,0.5079,0.0444,0.5748,0.768
