time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.618424,-1.5259,-0.5296,-0.3380,1.650
0.627841,0.6974,-1.8214,1.9890,2.786
0.630309,0.7515,0.5447,-0.2206,0.954
0.634619,-1.0494,-0.0001,-0.2804,1.086
0.638973,-0.5956,-0.4081,1.2726,1.463
0.642920,0.1916,-0.7721,1.9060,2.065
0.647238,-0.6146,-0.6468,1.4312,1.687
0.655936,-0.7119,-0.1067,0.8178,1.089
0.660958,-0.8106,-0.0675,0.9579,1.257
0.664677,-0.6573,-0.1554,0.7692,1.024
0.668697,-0.8430,-0.3510,0.8155,1.224
0.673000,-0.9856,0.0091,0.4331,1.077
0.681278,-1.1467,-0.1377,0.3998,1.222
0.688270,-1.4248,0.1417,0.6145,1.558
0.690788,-1.7602,-0.0819,0.8825,1.971
0.698704,-1.6543,-0.0230,0.8355,1.853
0.699082,-1.3643,0.5477,0.8162,1.681
0.706429,-1.8297,0.4693,0.8874,2.087
0.713480,-2.4756,0.4861,0.5073,2.573
0.714846,-1.8773,-0.2415,0.5856,1.981
0.719234,-0.4974,-0.3856,0.9394,1.131
0.722852,0.2775,0.1640,0.7969,0.860
0.726921,-0.5716,0.2347,-0.0599,0.621
0.735937,-1.0585,-0.6400,-0.6939,1.418
0.740418,-0.2063,-0.0722,0.1701,0.277
0.744838,-2.1422,-0.2016,-0.0139,2.152
0.748822,-2.6951,0.1286,-0.6530,2.776
0.753338,-2.3900,0.5763,0.0998,2.461
0.761877,-0.9368,-1.8839,0.8432,2.267
0.765334,1.4427,-0.8041,1.0269,1.945
0.770210,0.2918,-0.3922,0.4984,0.698
0.773807,-1.7498,0.5498,-1.1892,2.186
0.778394,-1.8225,-0.5455,0.2166,1.915
0.782553,-0.6965,-1.4460,0.8648,1.823
0.790764,-1.8765,-0.6974,-0.1716,2.009
0.798627,-1.8307,-0.6666,-0.5792,2.033
0.799277,-1.0502,-0.5060,0.6629,1.341
0.803556,-0.7527,-1.8384,0.8713,2.169
0.807047,-1.7285,-1.7128,0.5567,2.496
0.816068,-1.0125,-2.4744,0.6537,2.752
0.821134,0.0039,0.1590,2.4420,2.447
0.824789,-0.6229,2.0864,3.4313,4.064
0.828569,3.0837,3.6813,7.6894,9.066
0.833272,4.6588,2.8381,6.2629,8.306
0.841635,1.4703,1.5282,0.2382,2.134
0.845632,-1.2094,-0.1121,-1.9908,2.332
0.850113,-2.4227,0.2713,-3.4774,4.247
0.854355,-3.1113,-0.2741,-1.7672,3.589
0.858423,-3.7470,-0.7683,0.0573,3.825
0.862815,-3.9488,-2.2343,-1.6110,4.815
0.870978,0.0824,-1.6457,1.4694,2.208
0.875441,-0.4723,0.5014,2.3540,2.453
0.879452,-1.8148,0.5713,0.2237,1.916
0.883309,0.0937,-0.8885,1.6455,1.872
0.888835,0.1708,-1.4524,0.5008,1.546
0.899303,-2.2637,-0.7180,-1.2134,2.667
0.900494,-0.1338,-0.9493,0.4664,1.066
0.904735,0.0836,0.4365,1.1443,1.228
0.908514,-0.0446,-0.2979,1.0582,1.100
0.913204,0.9692,-0.4970,1.7452,2.057
0.921247,0.7702,0.7017,0.5686,1.187
0.925642,-2.0880,1.4368,-0.7977,2.657
0.929951,-1.1207,-1.2775,-0.8598,1.904
0.933904,-1.5940,1.2736,-0.3260,2.066
0.938488,-2.1970,0.8115,-1.1972,2.630
0.942682,-2.1227,1.8526,-1.5278,3.205
0.951176,-3.0549,2.4056,-1.7080,4.247
0.955486,-3.6617,0.5424,-1.7120,4.078
0.959436,0.6583,-6.6348,8.5813,10.867
0.963624,1.7484,-8.1166,6.4202,10.496
0.967372,3.8967,-4.6203,2.8848,6.697
0.976237,3.4592,2.2203,-0.4713,4.137
0.980573,2.0691,3.4775,-5.4848,6.816
0.986070,0.5399,2.3478,-5.4503,5.959
0.989352,1.0926,0.4256,-0.1195,1.179
0.994267,-1.1510,1.9165,-4.3956,4.931
