time,gFx,gFy,gFz,TgF
0.000931,0.5460,0.0317,0.8468,1.008
0.001152,0.5484,0.0308,0.8448,1.008
0.002677,0.5494,0.0313,0.8414,1.005
0.005570,0.5494,0.0308,0.8370,1.002
0.006943,0.5503,0.0288,0.8341,1.000
0.008750,0.5508,0.0269,0.8297,0.996
0.011147,0.5503,0.0249,0.8258,0.993
0.017260,0.5503,0.0244,0.8238,0.991
0.017561,0.5503,0.0249,0.8233,0.991
0.017722,0.5513,0.0254,0.8233,0.991
0.019528,0.5508,0.0254,0.8223,0.990
0.021982,0.5508,0.0264,0.8243,0.992
0.023890,0.5499,0.0269,0.8253,0.992
0.025648,0.5489,0.0273,0.8267,0.993
0.027947,0.5474,0.0273,0.8287,0.994
0.030394,0.5469,0.0278,0.8307,0.995
0.032193,0.5464,0.0264,0.8336,0.997
0.034282,0.5455,0.0259,0.8355,0.998
0.036332,0.5440,0.0264,0.8390,1.000
0.039288,0.5445,0.0259,0.8419,1.003
0.040779,0.5455,0.0249,0.8438,1.005
0.042811,0.5469,0.0244,0.8458,1.008
0.045208,0.5469,0.0239,0.8458,1.008
0.047113,0.5469,0.0254,0.8453,1.007
0.048894,0.5479,0.0254,0.8453,1.008
0.050974,0.5484,0.0254,0.8448,1.008
0.052908,0.5484,0.0254,0.8438,1.007
0.058707,0.5484,0.0254,0.8433,1.006
0.059011,0.5494,0.0249,0.8429,1.006
0.060069,0.5494,0.0264,0.8438,1.007
0.061642,0.5503,0.0264,0.8429,1.007
0.063950,0.5499,0.0259,0.8433,1.007
0.065943,0.5499,0.0264,0.8443,1.008
0.068235,0.5489,0.0269,0.8429,1.006
0.070088,0.5484,0.0254,0.8419,1.005
0.072474,0.5469,0.0254,0.8409,1.003
0.074322,0.5455,0.0264,0.8404,1.002
0.076389,0.5445,0.0264,0.8390,1.001
0.078913,0.5445,0.0264,0.8375,0.999
0.080840,0.5455,0.0269,0.8355,0.998
0.083181,0.5469,0.0264,0.8346,0.998
0.084903,0.5484,0.0264,0.8336,0.998
0.087111,0.5484,0.0269,0.8331,0.998
0.089195,0.5494,0.0264,0.8326,0.998
0.091051,0.5503,0.0273,0.8307,0.997
0.093668,0.5503,0.0269,0.8297,0.996
0.095239,0.5499,0.0264,0.8302,0.996
0.100343,0.5489,0.0254,0.8316,0.997
0.100547,0.5489,0.0259,0.8321,0.997
0.102422,0.5489,0.0259,0.8331,0.998
0.103892,0.5489,0.0259,0.8341,0.999
0.106049,0.5484,0.0264,0.8355,1.000
0.108393,0.5484,0.0259,0.8370,1.001
0.110553,0.5479,0.0264,0.8385,1.002
0.112204,0.5484,0.0273,0.8390,1.003
0.117515,0.5474,0.0273,0.8390,1.002
0.117795,0.5469,0.0278,0.8409,1.004
0.119042,0.5474,0.0283,0.8404,1.003
0.120771,0.5464,0.0273,0.8419,1.004
0.123600,0.5469,0.0269,0.8429,1.005
0.124979,0.5464,0.0264,0.8414,1.004
0.127343,0.5474,0.0264,0.8424,1.005
0.129010,0.5474,0.0249,0.8424,1.005
0.131251,0.5464,0.0244,0.8409,1.003
0.133560,0.5479,0.0244,0.8404,1.004
0.135844,0.5484,0.0254,0.8414,1.005
0.137638,0.5489,0.0259,0.8399,1.004
0.140325,0.5479,0.0249,0.8394,1.003
0.142229,0.5484,0.0254,0.8399,1.003
0.144145,0.5489,0.0254,0.8375,1.002
0.146195,0.5489,0.0254,0.8380,1.002
0.148686,0.5474,0.0259,0.8375,1.001
0.150267,0.5479,0.0259,0.8370,1.001
0.152391,0.5479,0.0259,0.8365,1.000
0.154428,0.5464,0.0269,0.8370,1.000
0.159928,0.5469,0.0269,0.8365,1.000
0.160210,0.5460,0.0259,0.8370,1.000
0.160817,0.5460,0.0259,0.8360,0.999
0.162622,0.5464,0.0259,0.8355,0.999
0.165226,0.5474,0.0264,0.8365,1.000
0.167106,0.5484,0.0254,0.8360,1.000
0.169154,0.5479,0.0254,0.8355,0.999
0.171203,0.5479,0.0264,0.8370,1.001
0.173659,0.5489,0.0269,0.8370,1.001
0.175492,0.5479,0.0273,0.8370,1.001
0.177542,0.5479,0.0269,0.8380,1.002
0.179733,0.5494,0.0269,0.8380,1.002
0.182252,0.5484,0.0273,0.8385,1.002
0.184056,0.5489,0.0269,0.8380,1.002
0.186170,0.5479,0.0269,0.8385,1.002
0.188978,0.5479,0.0264,0.8394,1.003
0.190952,0.5479,0.0269,0.8399,1.003
0.192757,0.5474,0.0264,0.8414,1.004
0.194845,0.5479,0.0273,0.8424,1.005
0.196399,0.5474,0.0269,0.8409,1.004
0.199075,0.5469,0.0264,0.8404,1.003
0.200826,0.5464,0.0259,0.8404,1.003
0.203375,0.5474,0.0264,0.8409,1.004
0.206822,0.5479,0.0259,0.8394,1.003
0.207445,0.5474,0.0264,0.8385,1.002
0.209174,0.5479,0.0259,0.8385,1.002
0.211173,0.5484,0.0249,0.8390,1.003
0.213574,0.5484,0.0254,0.8385,1.002
0.215480,0.5489,0.0249,0.8375,1.002
0.217763,0.5474,0.0244,0.8365,1.000
0.219607,0.5474,0.0249,0.8365,1.000
0.222221,0.5479,0.0249,0.8375,1.001
0.224712,0.5479,0.0249,0.8380,1.002
0.226269,0.5479,0.0254,0.8390,1.002
0.228474,0.5469,0.0259,0.8390,1.002
0.231207,0.5474,0.0259,0.8385,1.002
0.232546,0.5484,0.0259,0.8380,1.002
0.235108,0.5484,0.0259,0.8375,1.001
0.236989,0.5474,0.0264,0.8390,1.002
0.239459,0.5474,0.0273,0.8375,1.001
0.240998,0.5479,0.0278,0.8390,1.002
0.243043,0.5474,0.0278,0.8385,1.002
0.245215,0.5479,0.0273,0.8380,1.002
0.248137,0.5484,0.0273,0.8394,1.003
0.249259,0.5494,0.0264,0.8390,1.003
0.251120,0.5484,0.0269,0.8390,1.003
0.253618,0.5479,0.0269,0.8390,1.002
0.259592,0.5489,0.0273,0.8390,1.003
0.259901,0.5489,0.0264,0.8380,1.002
0.260018,0.5494,0.0264,0.8375,1.002
0.262047,0.5499,0.0259,0.8380,1.003
0.265927,0.5489,0.0264,0.8380,1.002
0.266622,0.5484,0.0264,0.8375,1.001
0.268240,0.5469,0.0269,0.8375,1.001
0.270681,0.5474,0.0264,0.8375,1.001
0.273887,0.5484,0.0264,0.8375,1.001
0.274683,0.5489,0.0259,0.8385,1.002
0.276782,0.5479,0.0254,0.8390,1.002
0.278872,0.5469,0.0259,0.8380,1.001
0.281554,0.5474,0.0259,0.8370,1.000
0.283101,0.5479,0.0259,0.8375,1.001
0.285134,0.5479,0.0259,0.8385,1.002
0.287327,0.5479,0.0249,0.8375,1.001
0.290092,0.5474,0.0244,0.8385,1.002
0.293066,0.5469,0.0239,0.8365,1.000
0.293324,0.5474,0.0244,0.8375,1.001
0.295419,0.5479,0.0259,0.8380,1.002
0.298287,0.5474,0.0259,0.8385,1.002
0.300339,0.5474,0.0249,0.8380,1.001
0.301882,0.5479,0.0254,0.8375,1.001
0.304223,0.5489,0.0254,0.8385,1.002
0.307093,0.5479,0.0259,0.8385,1.002
0.308536,0.5474,0.0273,0.8390,1.002
0.310447,0.5474,0.0264,0.8390,1.002
0.312714,0.5474,0.0264,0.8380,1.001
0.314647,0.5479,0.0259,0.8394,1.003
0.316856,0.5474,0.0269,0.8404,1.003
0.318936,0.5469,0.0269,0.8399,1.003
0.320992,0.5469,0.0264,0.8394,1.002
0.323680,0.5479,0.0259,0.8390,1.002
0.325349,0.5474,0.0264,0.8385,1.002
0.327337,0.5479,0.0264,0.8380,1.002
0.329121,0.5479,0.0264,0.8380,1.002
0.331558,0.5484,0.0269,0.8390,1.003
0.333535,0.5489,0.0273,0.8380,1.002
0.335892,0.5494,0.0269,0.8375,1.002
0.337812,0.5489,0.0269,0.8380,1.002
0.340136,0.5484,0.0264,0.8375,1.001
0.342252,0.5489,0.0259,0.8370,1.001
0.344276,0.5474,0.0249,0.8380,1.001
0.346317,0.5474,0.0254,0.8375,1.001
0.348871,0.5479,0.0259,0.8380,1.002
0.351277,0.5484,0.0264,0.8380,1.002
0.352512,0.5484,0.0269,0.8385,1.002
0.354639,0.5489,0.0259,0.8375,1.002
0.357532,0.5489,0.0259,0.8385,1.002
0.359159,0.5484,0.0254,0.8394,1.003
0.361161,0.5474,0.0254,0.8394,1.002
0.363143,0.5484,0.0254,0.8390,1.003
0.369215,0.5479,0.0254,0.8390,1.002
0.369535,0.5474,0.0249,0.8385,1.002
0.369675,0.5484,0.0259,0.8375,1.001
0.371439,0.5484,0.0249,0.8375,1.001
0.373546,0.5484,0.0249,0.8385,1.002
0.375653,0.5484,0.0254,0.8375,1.001
0.377704,0.5479,0.0259,0.8385,1.002
0.380107,0.5484,0.0259,0.8380,1.002
0.382396,0.5479,0.0254,0.8380,1.002
0.384231,0.5479,0.0269,0.8390,1.002
0.386193,0.5479,0.0259,0.8390,1.002
0.388333,0.5474,0.0259,0.8394,1.002
0.390973,0.5484,0.0259,0.8385,1.002
0.393105,0.5479,0.0254,0.8380,1.002
0.394774,0.5474,0.0264,0.8385,1.002
0.397732,0.5479,0.0259,0.8380,1.002
0.399124,0.5479,0.0259,0.8380,1.002
0.401544,0.5479,0.0259,0.8385,1.002
0.403248,0.5484,0.0259,0.8380,1.002
0.406473,0.5484,0.0259,0.8375,1.001
0.408037,0.5479,0.0269,0.8375,1.001
0.409513,0.5474,0.0259,0.8370,1.000
0.411238,0.5479,0.0259,0.8390,1.002
0.413661,0.5479,0.0259,0.8385,1.002
0.415743,0.5479,0.0264,0.8380,1.002
0.418131,0.5474,0.0264,0.8375,1.001
0.419947,0.5484,0.0264,0.8380,1.002
0.423038,0.5469,0.0264,0.8380,1.001
0.424333,0.5469,0.0259,0.8385,1.001
0.427198,0.5479,0.0249,0.8390,1.002
0.428755,0.5479,0.0264,0.8390,1.002
0.431123,0.5474,0.0259,0.8390,1.002
0.432692,0.5479,0.0264,0.8380,1.002
0.434765,0.5474,0.0264,0.8385,1.002
0.436566,0.5474,0.0264,0.8390,1.002
0.439856,0.5479,0.0264,0.8390,1.002
0.441264,0.5479,0.0264,0.8385,1.002
0.443345,0.5479,0.0264,0.8380,1.002
0.445652,0.5479,0.0259,0.8385,1.002
0.449241,0.5469,0.0259,0.8370,1.000
0.450372,0.5474,0.0259,0.8370,1.000
0.451924,0.5479,0.0254,0.8375,1.001
0.453689,0.5484,0.0254,0.8390,1.003
0.457741,0.5479,0.0254,0.8399,1.003
0.458112,0.5479,0.0264,0.8399,1.003
0.460524,0.5474,0.0264,0.8385,1.002
0.462088,0.5484,0.0259,0.8385,1.002
