time,gFx,gFy,gFz,TgF
0.147273,0.5015,0.0190,0.8531,0.990
0.149196,0.5020,0.0220,0.8443,0.983
0.151426,0.5020,0.0234,0.8370,0.976
0.155154,0.5035,0.0249,0.8311,0.972
0.155440,0.5044,0.0278,0.8267,0.969
0.158247,0.5054,0.0293,0.8238,0.967
0.160439,0.5074,0.0293,0.8228,0.967
0.162117,0.5069,0.0298,0.8233,0.967
0.164374,0.5059,0.0303,0.8248,0.968
0.166789,0.5074,0.0308,0.8267,0.971
0.169032,0.5079,0.0308,0.8336,0.977
0.172217,0.5088,0.0293,0.8404,0.983
0.172947,0.5098,0.0293,0.8473,0.989
0.175106,0.5108,0.0288,0.8560,0.997
0.177298,0.5113,0.0269,0.8639,1.004
0.181103,0.5118,0.0254,0.8717,1.011
0.181369,0.5127,0.0239,0.8780,1.017
0.183758,0.5127,0.0239,0.8853,1.023
0.185773,0.5132,0.0230,0.8907,1.028
0.188091,0.5113,0.0225,0.8932,1.029
0.189631,0.5103,0.0220,0.8966,1.032
0.191965,0.5093,0.0225,0.8956,1.031
0.194094,0.5074,0.0225,0.8936,1.028
0.196871,0.5054,0.0220,0.8907,1.024
0.198111,0.5035,0.0215,0.8853,1.019
0.200147,0.5035,0.0205,0.8809,1.015
0.202980,0.5020,0.0210,0.8726,1.007
0.204424,0.5010,0.0210,0.8658,1.001
0.206274,0.5010,0.0215,0.8600,0.995
0.208487,0.5010,0.0220,0.8521,0.989
0.212125,0.5020,0.0225,0.8477,0.985
0.213726,0.5020,0.0220,0.8438,0.982
0.214750,0.5035,0.0215,0.8409,0.980
0.217068,0.5059,0.0230,0.8409,0.982
0.219691,0.5069,0.0234,0.8414,0.983
0.223260,0.5079,0.0225,0.8424,0.984
0.223517,0.5103,0.0225,0.8443,0.987
0.225554,0.5118,0.0234,0.8473,0.990
0.227427,0.5123,0.0244,0.8526,0.995
0.229241,0.5132,0.0244,0.8556,0.998
0.231482,0.5132,0.0239,0.8600,1.002
0.233499,0.5127,0.0234,0.8639,1.005
0.235867,0.5118,0.0225,0.8683,1.008
0.238224,0.5098,0.0220,0.8726,1.011
0.240131,0.5093,0.0215,0.8761,1.014
0.242438,0.5088,0.0230,0.8785,1.015
0.244774,0.5079,0.0234,0.8790,1.015
0.246628,0.5079,0.0239,0.8800,1.016
0.248490,0.5054,0.0234,0.8795,1.015
0.250763,0.5059,0.0239,0.8770,1.013
0.253564,0.5054,0.0254,0.8761,1.012
0.255023,0.5044,0.0269,0.8736,1.009
0.257095,0.5040,0.0264,0.8692,1.005
0.259286,0.5030,0.0259,0.8668,1.002
0.261672,0.5025,0.0259,0.8648,1.001
0.264460,0.5020,0.0254,0.8609,0.997
0.265624,0.5025,0.0254,0.8565,0.993
0.267619,0.5020,0.0244,0.8546,0.991
0.269971,0.5025,0.0249,0.8516,0.989
0.271812,0.5040,0.0249,0.8521,0.990
0.274052,0.5054,0.0244,0.8507,0.990
0.276003,0.5059,0.0225,0.8497,0.989
0.278326,0.5074,0.0225,0.8512,0.991
0.280254,0.5084,0.0225,0.8521,0.993
0.282377,0.5093,0.0220,0.8536,0.994
0.284413,0.5103,0.0205,0.8575,0.998
0.289918,0.5113,0.0220,0.8604,1.001
0.290231,0.5127,0.0220,0.8629,1.004
0.290814,0.5142,0.0220,0.8658,1.007
0.292861,0.5137,0.0210,0.8692,1.010
0.295201,0.5118,0.0210,0.8717,1.011
0.297085,0.5103,0.0220,0.8726,1.011
0.299271,0.5084,0.0210,0.8736,1.011
0.301297,0.5079,0.0200,0.8746,1.012
0.303976,0.5074,0.0205,0.8770,1.013
0.305789,0.5069,0.0220,0.8770,1.013
0.307827,0.5054,0.0230,0.8761,1.012
0.309536,0.5020,0.0220,0.8741,1.008
0.312093,0.5030,0.0230,0.8692,1.005
0.313638,0.5025,0.0234,0.8673,1.003
0.315775,0.5030,0.0244,0.8658,1.002
0.318174,0.5040,0.0254,0.8634,1.000
0.320280,0.5044,0.0254,0.8609,0.998
0.322590,0.5049,0.0259,0.8580,0.996
0.324400,0.5049,0.0269,0.8536,0.992
0.326558,0.5059,0.0269,0.8516,0.991
0.329416,0.5054,0.0269,0.8502,0.989
0.331509,0.5059,0.0269,0.8487,0.988
0.332963,0.5074,0.0264,0.8502,0.990
0.335269,0.5079,0.0259,0.8507,0.991
0.337899,0.5084,0.0254,0.8536,0.994
0.339854,0.5088,0.0244,0.8565,0.997
0.341408,0.5093,0.0244,0.8580,0.998
0.343533,0.5088,0.0234,0.8614,1.001
0.345670,0.5093,0.0220,0.8648,1.004
0.347455,0.5103,0.0220,0.8663,1.006
0.349472,0.5098,0.0215,0.8692,1.008
0.352003,0.5093,0.0210,0.8717,1.010
0.354875,0.5088,0.0210,0.8731,1.011
0.356204,0.5074,0.0215,0.8731,1.010
0.358139,0.5069,0.0210,0.8736,1.010
0.360744,0.5064,0.0215,0.8741,1.010
0.362510,0.5064,0.0225,0.8731,1.010
0.364868,0.5054,0.0215,0.8726,1.009
0.366576,0.5054,0.0225,0.8707,1.007
0.369066,0.5054,0.0230,0.8687,1.005
0.371215,0.5049,0.0234,0.8663,1.003
0.373154,0.5044,0.0230,0.8643,1.001
0.375203,0.5040,0.0230,0.8609,0.998
0.377798,0.5049,0.0239,0.8600,0.998
0.381875,0.5049,0.0244,0.8595,0.997
0.382284,0.5064,0.0249,0.8580,0.997
0.383552,0.5074,0.0259,0.8570,0.996
0.386198,0.5074,0.0264,0.8560,0.995
0.388207,0.5079,0.0269,0.8565,0.996
0.389601,0.5074,0.0264,0.8556,0.995
0.391616,0.5079,0.0259,0.8560,0.996
0.394065,0.5074,0.0259,0.8565,0.996
0.397886,0.5079,0.0249,0.8585,0.998
0.398179,0.5079,0.0254,0.8600,0.999
0.400443,0.5074,0.0249,0.8619,1.000
0.402862,0.5064,0.0234,0.8629,1.001
0.404599,0.5069,0.0230,0.8634,1.001
0.406875,0.5074,0.0230,0.8639,1.002
0.408980,0.5079,0.0230,0.8658,1.004
0.411308,0.5088,0.0225,0.8673,1.006
0.413000,0.5074,0.0220,0.8692,1.007
0.415692,0.5079,0.0225,0.8692,1.007
0.417429,0.5074,0.0220,0.8692,1.007
0.420285,0.5069,0.0220,0.8692,1.006
0.421823,0.5074,0.0220,0.8692,1.007
0.423708,0.5069,0.0210,0.8687,1.006
0.425715,0.5064,0.0210,0.8687,1.006
0.427628,0.5074,0.0210,0.8678,1.005
0.430038,0.5069,0.0220,0.8658,1.004
0.431981,0.5064,0.0230,0.8648,1.002
0.434009,0.5059,0.0230,0.8639,1.001
0.436856,0.5069,0.0239,0.8614,1.000
0.438444,0.5079,0.0239,0.8604,0.999
0.440661,0.5074,0.0244,0.8585,0.998
0.442537,0.5074,0.0249,0.8565,0.996
0.445275,0.5069,0.0259,0.8575,0.996
0.447609,0.5069,0.0259,0.8565,0.996
0.449054,0.5079,0.0259,0.8565,0.996
0.450963,0.5084,0.0254,0.8570,0.997
0.453583,0.5074,0.0259,0.8580,0.997
0.455277,0.5079,0.0264,0.8595,0.999
0.457264,0.5079,0.0254,0.8595,0.999
0.459539,0.5069,0.0249,0.8619,1.000
0.462502,0.5069,0.0244,0.8639,1.002
0.464549,0.5059,0.0230,0.8663,1.003
0.465943,0.5059,0.0230,0.8673,1.004
0.467628,0.5059,0.0234,0.8673,1.004
0.470365,0.5054,0.0225,0.8687,1.005
0.471871,0.5054,0.0215,0.8697,1.006
0.474002,0.5054,0.0215,0.8702,1.007
0.475999,0.5054,0.0220,0.8712,1.007
0.478729,0.5059,0.0215,0.8687,1.006
0.480688,0.5059,0.0220,0.8678,1.005
0.482818,0.5054,0.0225,0.8663,1.003
0.484624,0.5054,0.0220,0.8648,1.002
0.487455,0.5064,0.0220,0.8639,1.002
0.489134,0.5064,0.0215,0.8634,1.001
0.491039,0.5074,0.0225,0.8624,1.001
0.493042,0.5079,0.0225,0.8619,1.001
0.496458,0.5088,0.0215,0.8624,1.002
0.497619,0.5093,0.0220,0.8604,1.000
0.499740,0.5093,0.0234,0.8609,1.001
0.501373,0.5084,0.0234,0.8604,1.000
0.503542,0.5088,0.0234,0.8590,0.999
0.506132,0.5088,0.0239,0.8600,1.000
0.507651,0.5084,0.0239,0.8595,0.999
0.510064,0.5084,0.0249,0.8600,0.999
0.512198,0.5079,0.0249,0.8604,0.999
0.514175,0.5069,0.0249,0.8609,0.999
0.516311,0.5064,0.0254,0.8614,1.000
0.518922,0.5069,0.0259,0.8619,1.000
0.520490,0.5064,0.0244,0.8619,1.000
0.523341,0.5054,0.0239,0.8629,1.000
0.524954,0.5059,0.0249,0.8639,1.001
0.526835,0.5049,0.0244,0.8653,1.002
0.529953,0.5040,0.0234,0.8668,1.003
0.531180,0.5044,0.0239,0.8683,1.004
0.533276,0.5049,0.0230,0.8678,1.004
0.535267,0.5064,0.0234,0.8687,1.006
0.539129,0.5059,0.0230,0.8683,1.005
0.539511,0.5054,0.0230,0.8687,1.005
0.541516,0.5079,0.0215,0.8687,1.007
0.543547,0.5074,0.0220,0.8683,1.006
0.546260,0.5074,0.0220,0.8673,1.005
0.547572,0.5074,0.0215,0.8663,1.004
0.549628,0.5084,0.0220,0.8648,1.003
0.551908,0.5098,0.0215,0.8639,1.003
0.554093,0.5093,0.0230,0.8619,1.001
0.556193,0.5098,0.0234,0.8600,1.000
0.559823,0.5088,0.0244,0.8580,0.998
0.560574,0.5088,0.0249,0.8565,0.997
0.563238,0.5084,0.0244,0.8560,0.996
0.564990,0.5069,0.0239,0.8560,0.995
0.567535,0.5084,0.0234,0.8546,0.995
0.568938,0.5079,0.0249,0.8551,0.995
0.572100,0.5069,0.0259,0.8570,0.996
0.573254,0.5064,0.0249,0.8580,0.997
0.575444,0.5059,0.0249,0.8590,0.997
0.577325,0.5049,0.0254,0.8595,0.997
0.581225,0.5059,0.0249,0.8619,1.000
0.582120,0.5059,0.0244,0.8643,1.002
0.583858,0.5059,0.0244,0.8653,1.003
0.585892,0.5044,0.0249,0.8663,1.003
0.593699,0.5044,0.0239,0.8683,1.004
0.594136,0.5054,0.0239,0.8697,1.006
0.594284,0.5049,0.0234,0.8697,1.006
0.596626,0.5049,0.0225,0.8712,1.007
0.596794,0.5059,0.0225,0.8712,1.008
0.599658,0.5059,0.0215,0.8722,1.008
0.602292,0.5069,0.0210,0.8717,1.009
0.605541,0.5084,0.0215,0.8707,1.008
0.605728,0.5088,0.0215,0.8697,1.008
0.606832,0.5084,0.0225,0.8678,1.006
0.608860,0.5088,0.0230,0.8663,1.005
0.611522,0.5088,0.0234,0.8634,1.002
0.613212,0.5088,0.0225,0.8619,1.001
0.615210,0.5088,0.0215,0.8595,0.999
0.617436,0.5088,0.0225,0.8580,0.998
0.619632,0.5079,0.0239,0.8556,0.995
0.622106,0.5084,0.0249,0.8541,0.994
0.623638,0.5084,0.0249,0.8556,0.995
0.625904,0.5069,0.0234,0.8560,0.995
0.627604,0.5064,0.0249,0.8551,0.994
0.629954,0.5064,0.0244,0.8560,0.995
0.631914,0.5069,0.0249,0.8570,0.996
0.634509,0.5069,0.0249,0.8590,0.998
0.636404,0.5074,0.0254,0.8600,0.999
0.639495,0.5069,0.0254,0.8629,1.001
0.641239,0.5069,0.0259,0.8663,1.004
0.642679,0.5064,0.0249,0.8673,1.005
0.645046,0.5064,0.0249,0.8683,1.005
0.647560,0.5064,0.0249,0.8687,1.006
0.649145,0.5069,0.0239,0.8697,1.007
0.651366,0.5069,0.0239,0.8717,1.009
0.655155,0.5059,0.0230,0.8712,1.008
0.655780,0.5069,0.0225,0.8707,1.008
0.657630,0.5074,0.0225,0.8707,1.008
0.659760,0.5064,0.0220,0.8707,1.007
0.662160,0.5069,0.0220,0.8697,1.007
0.664850,0.5064,0.0215,0.8687,1.006
0.666021,0.5074,0.0220,0.8658,1.004
0.668065,0.5069,0.0225,0.8643,1.002
0.671469,0.5069,0.0215,0.8634,1.001
0.672497,0.5074,0.0215,0.8604,0.999
0.674408,0.5079,0.0230,0.8595,0.999
0.676515,0.5079,0.0230,0.8580,0.997
0.679321,0.5074,0.0239,0.8575,0.997
0.681261,0.5079,0.0244,0.8565,0.996
0.682876,0.5069,0.0244,0.8556,0.995
0.685292,0.5064,0.0249,0.8560,0.995
0.687253,0.5069,0.0249,0.8570,0.996
0.689256,0.5064,0.0249,0.8575,0.996
0.691199,0.5054,0.0249,0.8590,0.997
0.693222,0.5064,0.0239,0.8600,0.998
0.696650,0.5069,0.0234,0.8619,1.000
0.697867,0.5054,0.0239,0.8639,1.001
0.700033,0.5054,0.0244,0.8658,1.003
0.701880,0.5054,0.0239,0.8678,1.005
0.704362,0.5064,0.0239,0.8683,1.005
0.706150,0.5069,0.0244,0.8692,1.007
0.707971,0.5069,0.0234,0.8697,1.007
0.709883,0.5064,0.0234,0.8697,1.007
0.712392,0.5064,0.0225,0.8707,1.007
0.714179,0.5069,0.0225,0.8702,1.007
0.716213,0.5074,0.0215,0.8692,1.007
0.719031,0.5084,0.0225,0.8678,1.006
0.721033,0.5074,0.0225,0.8663,1.004
0.723124,0.5074,0.0230,0.8658,1.004
0.725325,0.5074,0.0230,0.8634,1.002
0.727213,0.5069,0.0225,0.8619,1.000
0.730335,0.5074,0.0225,0.8609,1.000
0.731353,0.5069,0.0220,0.8595,0.998
0.733321,0.5079,0.0234,0.8590,0.998
0.736164,0.5079,0.0234,0.8590,0.998
0.737548,0.5079,0.0225,0.8575,0.997
0.739865,0.5074,0.0225,0.8570,0.996
0.741836,0.5074,0.0234,0.8580,0.997
0.744059,0.5084,0.0239,0.8570,0.997
0.746147,0.5088,0.0249,0.8585,0.998
0.748104,0.5093,0.0239,0.8590,0.999
0.749908,0.5088,0.0244,0.8609,1.000
0.752777,0.5093,0.0249,0.8614,1.001
0.757932,0.5079,0.0249,0.8629,1.002
0.758507,0.5064,0.0239,0.8639,1.002
0.758854,0.5064,0.0244,0.8648,1.002
0.760667,0.5079,0.0249,0.8668,1.005
0.763635,0.5064,0.0244,0.8673,1.005
0.765219,0.5054,0.0244,0.8673,1.004
0.767074,0.5049,0.0234,0.8683,1.005
0.769258,0.5054,0.0225,0.8687,1.005
0.772699,0.5054,0.0225,0.8692,1.006
0.773682,0.5059,0.0234,0.8683,1.005
0.776529,0.5064,0.0225,0.8683,1.005
0.777686,0.5064,0.0230,0.8683,1.005
0.783359,0.5064,0.0234,0.8673,1.005
0.783896,0.5079,0.0234,0.8668,1.005
0.784385,0.5074,0.0234,0.8658,1.004
0.786056,0.5074,0.0239,0.8648,1.003
0.790984,0.5079,0.0225,0.8624,1.001
0.791300,0.5079,0.0225,0.8609,1.000
0.792412,0.5074,0.0234,0.8595,0.998
0.794267,0.5074,0.0239,0.8595,0.998
0.797200,0.5074,0.0239,0.8580,0.997
0.800932,0.5074,0.0239,0.8585,0.997
0.801122,0.5069,0.0239,0.8590,0.998
0.802903,0.5069,0.0239,0.8580,0.997
0.805651,0.5079,0.0249,0.8595,0.999
0.808048,0.5069,0.0239,0.8595,0.998
0.809133,0.5074,0.0239,0.8604,0.999
0.811284,0.5074,0.0244,0.8614,1.000
0.813857,0.5059,0.0244,0.8639,1.001
0.815594,0.5069,0.0239,0.8639,1.002
0.817755,0.5059,0.0244,0.8653,1.003
0.819723,0.5059,0.0244,0.8663,1.004
0.822064,0.5064,0.0239,0.8658,1.003
0.823970,0.5064,0.0230,0.8668,1.004
0.825911,0.5064,0.0234,0.8668,1.004
0.828021,0.5064,0.0225,0.8678,1.005
0.831474,0.5064,0.0220,0.8668,1.004
0.832491,0.5069,0.0220,0.8673,1.005
0.834687,0.5069,0.0215,0.8663,1.004
0.837051,0.5079,0.0210,0.8663,1.004
0.840144,0.5079,0.0225,0.8668,1.005
0.840825,0.5084,0.0220,0.8648,1.003
0.843117,0.5084,0.0230,0.8653,1.004
0.845451,0.5093,0.0230,0.8634,1.003
0.848407,0.5088,0.0230,0.8624,1.002
0.849309,0.5088,0.0239,0.8614,1.001
0.851543,0.5079,0.0239,0.8600,0.999
0.853927,0.5074,0.0239,0.8600,0.999
0.856087,0.5069,0.0239,0.8604,0.999
0.857801,0.5064,0.0244,0.8609,0.999
0.859942,0.5064,0.0234,0.8600,0.998
0.862174,0.5054,0.0244,0.8595,0.997
0.865140,0.5059,0.0244,0.8609,0.999
0.866038,0.5069,0.0244,0.8604,0.999
0.868208,0.5069,0.0249,0.8619,1.000
0.871607,0.5064,0.0249,0.8634,1.001
0.872968,0.5064,0.0249,0.8639,1.002
0.874574,0.5069,0.0239,0.8648,1.003
0.876804,0.5074,0.0249,0.8648,1.003
0.879458,0.5074,0.0239,0.8673,1.005
0.881119,0.5074,0.0239,0.8673,1.005
0.883494,0.5074,0.0239,0.8663,1.004
0.885248,0.5069,0.0244,0.8673,1.005
0.887950,0.5064,0.0249,0.8658,1.003
0.890575,0.5069,0.0239,0.8653,1.003
0.891663,0.5064,0.0239,0.8639,1.002
0.893606,0.5064,0.0234,0.8629,1.001
0.898072,0.5059,0.0230,0.8629,1.001
0.898472,0.5069,0.0230,0.8619,1.000
0.900371,0.5064,0.0225,0.8634,1.001
0.902974,0.5069,0.0234,0.8614,1.000
0.906919,0.5079,0.0239,0.8600,0.999
0.907270,0.5074,0.0239,0.8600,0.999
0.908843,0.5069,0.0230,0.8604,0.999
0.910228,0.5074,0.0244,0.8619,1.000
0.912352,0.5079,0.0239,0.8614,1.000
0.916266,0.5084,0.0244,0.8614,1.001
0.916573,0.5069,0.0244,0.8619,1.000
0.918837,0.5074,0.0244,0.8619,1.000
0.921289,0.5079,0.0239,0.8624,1.001
0.923059,0.5064,0.0239,0.8624,1.000
0.925132,0.5064,0.0230,0.8624,1.000
0.927530,0.5059,0.0230,0.8639,1.001
0.929764,0.5064,0.0234,0.8653,1.003
0.933615,0.5069,0.0234,0.8648,1.003
0.933838,0.5069,0.0230,0.8648,1.003
0.936083,0.5074,0.0230,0.8648,1.003
0.938012,0.5069,0.0230,0.8653,1.003
0.939989,0.5069,0.0234,0.8658,1.004
0.942171,0.5069,0.0230,0.8653,1.003
0.944381,0.5079,0.0234,0.8648,1.003
0.946333,0.5079,0.0239,0.8648,1.003
0.948208,0.5079,0.0239,0.8639,1.002
0.950464,0.5079,0.0234,0.8634,1.002
0.952690,0.5079,0.0230,0.8634,1.002
0.954963,0.5074,0.0234,0.8624,1.001
0.956904,0.5074,0.0234,0.8624,1.001
0.959573,0.5079,0.0234,0.8619,1.001
0.961424,0.5074,0.0234,0.8614,1.000
0.966033,0.5069,0.0230,0.8624,1.001
0.966688,0.5069,0.0230,0.8619,1.000
0.967678,0.5069,0.0225,0.8614,1.000
0.969406,0.5079,0.0230,0.8629,1.002
0.971860,0.5079,0.0225,0.8624,1.001
0.973667,0.5084,0.0230,0.8634,1.002
0.975797,0.5084,0.0239,0.8629,1.002
0.977771,0.5074,0.0234,0.8643,1.003
0.980032,0.5069,0.0239,0.8634,1.001
0.982188,0.5069,0.0239,0.8639,1.002
0.984294,0.5064,0.0239,0.8643,1.002
0.986120,0.5069,0.0249,0.8634,1.001
0.990753,0.5069,0.0239,0.8629,1.001
0.991343,0.5069,0.0239,0.8624,1.001
0.993263,0.5069,0.0244,0.8639,1.002
0.996185,0.5069,0.0244,0.8648,1.003
1.002892,0.5064,0.0234,0.8629,1.001
1.003205,0.5064,0.0230,0.8624,1.000
1.003283,0.5059,0.0225,0.8619,1.000
1.003346,0.5059,0.0234,0.8619,1.000
1.005210,0.5069,0.0234,0.8624,1.001
1.007347,0.5069,0.0230,0.8624,1.001
1.009725,0.5054,0.0239,0.8624,1.000
1.011503,0.5059,0.0225,0.8624,1.000
1.013915,0.5059,0.0225,0.8634,1.001
1.015756,0.5074,0.0230,0.8639,1.002
1.017997,0.5079,0.0239,0.8634,1.002
1.020038,0.5084,0.0230,0.8643,1.003
1.022204,0.5074,0.0225,0.8639,1.002
1.024561,0.5079,0.0230,0.8648,1.003
1.026506,0.5069,0.0225,0.8648,1.003
1.028162,0.5079,0.0225,0.8648,1.003
1.031113,0.5074,0.0225,0.8648,1.003
1.032801,0.5069,0.0225,0.8658,1.004
1.034941,0.5074,0.0234,0.8663,1.004
1.036943,0.5064,0.0234,0.8653,1.003
1.038989,0.5064,0.0230,0.8673,1.005
1.041175,0.5059,0.0225,0.8668,1.004
1.044104,0.5064,0.0230,0.8648,1.002
1.045450,0.5059,0.0230,0.8643,1.002
1.048094,0.5059,0.0234,0.8624,1.000
1.049979,0.5054,0.0244,0.8614,0.999
1.051954,0.5044,0.0249,0.8609,0.998
1.053848,0.5059,0.0254,0.8609,0.999
1.056815,0.5059,0.0249,0.8604,0.998
1.058343,0.5064,0.0249,0.8600,0.998
1.060326,0.5059,0.0239,0.8604,0.998
1.062257,0.5064,0.0244,0.8590,0.997
1.068976,0.5069,0.0239,0.8595,0.998
1.069408,0.5069,0.0239,0.8600,0.999
1.069519,0.5074,0.0234,0.8590,0.998
1.071242,0.5074,0.0230,0.8619,1.000
1.073139,0.5074,0.0230,0.8614,1.000
1.074595,0.5069,0.0234,0.8614,1.000
1.076694,0.5084,0.0234,0.8629,1.002
1.079455,0.5084,0.0225,0.8619,1.001
1.081360,0.5079,0.0230,0.8629,1.002
1.083410,0.5074,0.0230,0.8639,1.002
1.085311,0.5074,0.0225,0.8643,1.003
1.088011,0.5079,0.0234,0.8648,1.003
1.091681,0.5084,0.0220,0.8643,1.003
1.092198,0.5079,0.0225,0.8663,1.004
1.093726,0.5069,0.0225,0.8658,1.004
1.096504,0.5069,0.0230,0.8668,1.004
1.099457,0.5069,0.0230,0.8668,1.004
1.100002,0.5064,0.0239,0.8668,1.004
1.102891,0.5074,0.0234,0.8673,1.005
1.104610,0.5054,0.0230,0.8653,1.002
1.106372,0.5054,0.0234,0.8658,1.003
1.108247,0.5049,0.0239,0.8648,1.002
1.110478,0.5049,0.0239,0.8639,1.001
1.112960,0.5049,0.0239,0.8629,1.000
1.114916,0.5049,0.0225,0.8634,1.000
1.117085,0.5074,0.0230,0.8619,1.000
1.119262,0.5074,0.0239,0.8614,1.000
1.121279,0.5074,0.0239,0.8619,1.000
1.124252,0.5079,0.0239,0.8634,1.002
1.125892,0.5088,0.0244,0.8629,1.002
1.127771,0.5069,0.0234,0.8629,1.001
1.129979,0.5079,0.0244,0.8609,1.000
1.132313,0.5074,0.0249,0.8604,0.999
1.133931,0.5074,0.0249,0.8604,0.999
1.136136,0.5079,0.0244,0.8619,1.001
1.138925,0.5079,0.0239,0.8624,1.001
1.140930,0.5088,0.0234,0.8634,1.002
1.142669,0.5074,0.0239,0.8629,1.001
1.144474,0.5069,0.0225,0.8629,1.001
1.148167,0.5079,0.0230,0.8643,1.003
1.151178,0.5069,0.0230,0.8658,1.004
1.151476,0.5079,0.0225,0.8653,1.004
1.152554,0.5074,0.0230,0.8648,1.003
1.155290,0.5074,0.0234,0.8653,1.003
1.157792,0.5069,0.0234,0.8658,1.004
1.159290,0.5074,0.0230,0.8648,1.003
1.161312,0.5069,0.0234,0.8648,1.003
1.163970,0.5064,0.0234,0.8648,1.002
1.165991,0.5074,0.0244,0.8639,1.002
1.167918,0.5069,0.0239,0.8639,1.002
1.169988,0.5069,0.0239,0.8629,1.001
1.174270,0.5069,0.0230,0.8619,1.000
1.175060,0.5069,0.0239,0.8619,1.000
1.176111,0.5059,0.0244,0.8609,0.999
1.178031,0.5069,0.0244,0.8600,0.999
1.181749,0.5079,0.0234,0.8614,1.000
1.182287,0.5079,0.0239,0.8614,1.000
1.184405,0.5079,0.0234,0.8614,1.000
1.186357,0.5079,0.0239,0.8619,1.001
1.188699,0.5084,0.0234,0.8609,1.000
1.190672,0.5093,0.0234,0.8619,1.001
1.192768,0.5088,0.0234,0.8619,1.001
1.195003,0.5084,0.0230,0.8629,1.002
1.196985,0.5084,0.0239,0.8634,1.002
1.199396,0.5088,0.0230,0.8634,1.002
1.201175,0.5069,0.0244,0.8639,1.002
1.203369,0.5069,0.0244,0.8648,1.003
1.205548,0.5074,0.0225,0.8643,1.003
1.208340,0.5069,0.0225,0.8648,1.003
1.209866,0.5069,0.0220,0.8653,1.003
1.211933,0.5064,0.0230,0.8653,1.003
1.215260,0.5059,0.0230,0.8658,1.003
1.216143,0.5069,0.0234,0.8668,1.004
1.218151,0.5064,0.0230,0.8658,1.003
