time,gFx,gFy,gFz,TgF
0.001537,0.4844,0.0049,1.0011,1.112
0.001724,0.4654,-0.0073,0.9923,1.096
0.001807,0.4634,-0.0093,0.9869,1.090
0.016444,0.4742,-0.0010,0.9879,1.096
0.016707,0.4888,0.0015,0.9947,1.108
0.016840,0.4937,-0.0044,1.0035,1.118
0.016971,0.4869,-0.0117,1.0074,1.119
0.017156,0.4781,-0.0127,0.9884,1.098
0.017261,0.4708,-0.0015,0.9327,1.045
0.017355,0.4649,0.0132,0.8761,0.992
0.017462,0.4678,0.0278,0.8443,0.966
0.020404,0.4834,0.0366,0.8199,0.953
0.022317,0.4976,0.0518,0.8067,0.949
0.023187,0.5035,0.0576,0.7838,0.933
0.025085,0.5049,0.0635,0.7550,0.910
0.027139,0.5010,0.0620,0.7369,0.893
0.029179,0.4991,0.0566,0.7296,0.886
0.031973,0.5035,0.0586,0.7169,0.878
0.033427,0.5088,0.0576,0.7105,0.876
0.035841,0.5123,0.0547,0.7110,0.878
0.038230,0.5171,0.0459,0.7174,0.886
0.040022,0.5225,0.0415,0.7281,0.897
0.041947,0.5269,0.0420,0.7423,0.911
0.044896,0.5259,0.0396,0.7667,0.931
0.046199,0.5225,0.0342,0.7867,0.945
0.048656,0.5196,0.0264,0.8101,0.963
0.050416,0.5206,0.0190,0.8424,0.990
0.052626,0.5259,0.0146,0.8736,1.020
0.055142,0.5313,0.0103,0.9054,1.050
0.057086,0.5357,0.0088,0.9342,1.077
0.058817,0.5342,0.0054,0.9498,1.090
0.066220,0.5279,-0.0029,0.9620,1.097
0.066389,0.5210,-0.0107,0.9752,1.106
0.066509,0.5171,-0.0156,0.9820,1.110
0.067213,0.5157,-0.0112,0.9815,1.109
0.069391,0.5147,-0.0034,0.9776,1.105
0.071223,0.5132,0.0024,0.9718,1.099
0.073398,0.5079,0.0034,0.9630,1.089
0.075332,0.5020,0.0054,0.9474,1.072
0.077991,0.4986,0.0112,0.9278,1.053
0.080754,0.4932,0.0171,0.9034,1.029
0.082321,0.4903,0.0200,0.8819,1.009
0.084162,0.4908,0.0225,0.8614,0.992
0.089350,0.4913,0.0264,0.8429,0.976
0.089629,0.4903,0.0303,0.8243,0.960
0.090818,0.4917,0.0361,0.8101,0.948
0.092526,0.4932,0.0405,0.7989,0.940
0.095243,0.4937,0.0420,0.7911,0.933
0.096932,0.4947,0.0425,0.7857,0.929
0.099209,0.4957,0.0430,0.7799,0.925
0.100967,0.4991,0.0420,0.7794,0.926
0.103624,0.5040,0.0420,0.7847,0.934
0.105601,0.5074,0.0405,0.7901,0.940
0.107649,0.5103,0.0376,0.8004,0.950
0.109222,0.5118,0.0361,0.8145,0.963
0.111607,0.5137,0.0347,0.8282,0.975
0.114044,0.5157,0.0327,0.8448,0.990
0.115912,0.5162,0.0298,0.8624,1.006
0.117743,0.5171,0.0264,0.8800,1.021
0.120917,0.5181,0.0230,0.8961,1.035
0.122167,0.5176,0.0195,0.9078,1.045
0.124202,0.5152,0.0156,0.9176,1.052
0.126147,0.5132,0.0117,0.9239,1.057
0.128940,0.5113,0.0112,0.9273,1.059
0.131000,0.5093,0.0107,0.9293,1.060
0.132715,0.5074,0.0093,0.9264,1.056
0.134627,0.5049,0.0083,0.9210,1.050
0.138499,0.5040,0.0093,0.9132,1.043
0.138857,0.5035,0.0117,0.9019,1.033
0.141134,0.5020,0.0127,0.8893,1.021
0.143146,0.5015,0.0146,0.8780,1.011
0.145375,0.5010,0.0171,0.8658,1.000
