time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001054,0.0758,0.1142,0.0316,0.141
0.003311,0.0926,0.1539,0.1153,0.213
0.011540,-0.1012,0.1318,0.1050,0.197
0.015913,-0.1249,0.1436,0.1545,0.245
0.020207,0.0111,0.0751,0.1026,0.128
0.024187,0.0226,-0.0185,0.1495,0.152
0.028175,0.0105,-0.0844,0.1580,0.179
0.032737,0.0381,-0.1545,0.2078,0.262
0.041728,0.1029,-0.1677,0.2704,0.334
0.046263,-0.0144,-0.0140,0.2810,0.282
0.049378,-0.1285,0.0239,0.2569,0.288
0.054001,-0.1282,0.0738,0.2784,0.315
0.057970,-0.1023,0.0761,0.2275,0.261
0.066097,-0.0519,0.0069,0.2089,0.215
0.070118,0.0135,-0.0238,0.1942,0.196
0.074519,0.0393,-0.0559,0.0875,0.111
0.080601,0.0881,-0.0829,0.0038,0.121
0.083026,0.0821,-0.1090,-0.0928,0.165
0.087821,0.0503,-0.1098,-0.2072,0.240
0.096117,0.0213,-0.1330,-0.2594,0.292
0.099948,0.0008,-0.1123,-0.3122,0.332
0.104475,0.0108,-0.0697,-0.3341,0.341
0.108130,0.0106,-0.0301,-0.3484,0.350
0.114102,-0.0097,0.0122,-0.3754,0.376
0.121934,-0.0224,0.0535,-0.4177,0.422
0.125276,-0.0374,0.0988,-0.4625,0.474
0.129938,-0.0241,0.1402,-0.4524,0.474
0.133753,-0.0040,0.1661,-0.4596,0.489
0.138608,0.0132,0.1807,-0.4449,0.480
0.147051,0.0267,0.1707,-0.4177,0.452
0.150248,0.0345,0.1700,-0.3873,0.424
0.158311,0.0496,0.1422,-0.3437,0.375
0.158633,0.0454,0.1082,-0.2936,0.316
0.163673,0.0221,0.0753,-0.2536,0.265
0.167645,0.0061,0.0398,-0.2160,0.220
0.176113,-0.0204,-0.0093,-0.1493,0.151
0.180234,-0.0058,-0.0475,-0.0750,0.089
0.184278,0.0081,-0.0653,0.0051,0.066
0.188541,0.0058,-0.0830,0.0723,0.110
0.192999,0.0035,-0.0904,0.1347,0.162
0.201402,0.0052,-0.0871,0.1878,0.207
0.205501,-0.0074,-0.0870,0.2312,0.247
0.209671,-0.0163,-0.0725,0.2825,0.292
0.214188,-0.0037,-0.0592,0.3270,0.332
0.219198,0.0029,-0.0440,0.3680,0.371
0.226536,0.0029,-0.0196,0.3932,0.394
0.230530,-0.0010,-0.0033,0.4021,0.402
0.235961,-0.0125,0.0035,0.4123,0.413
0.239169,-0.0254,0.0080,0.4051,0.406
0.243611,-0.0283,0.0048,0.3878,0.389
0.250084,-0.0215,0.0004,0.3717,0.372
0.256585,-0.0156,-0.0063,0.3535,0.354
0.260427,-0.0018,-0.0175,0.3286,0.329
0.264858,0.0021,-0.0352,0.2942,0.296
0.268364,-0.0040,-0.0413,0.2336,0.237
0.273083,-0.0068,-0.0579,0.1709,0.181
0.281397,-0.0022,-0.0736,0.1204,0.141
0.285919,-0.0039,-0.0620,0.0704,0.094
0.289887,-0.0010,-0.0585,0.0198,0.062
0.293879,0.0018,-0.0509,-0.0266,0.057
0.298206,0.0136,-0.0300,-0.0642,0.072
0.302613,0.0103,-0.0114,-0.1185,0.119
0.311232,0.0012,0.0277,-0.1825,0.185
0.315043,-0.0028,0.0436,-0.2125,0.217
0.319671,-0.0073,0.0583,-0.2393,0.246
0.325960,0.0002,0.0700,-0.2622,0.271
0.327877,0.0059,0.0825,-0.2865,0.298
0.336541,0.0031,0.0917,-0.3041,0.318
0.342880,0.0149,0.0901,-0.2944,0.308
0.344648,0.0034,0.0848,-0.2989,0.311
0.348398,0.0046,0.0679,-0.2832,0.291
0.352905,0.0059,0.0617,-0.2686,0.276
0.361515,0.0125,0.0437,-0.2486,0.253
0.365256,0.0050,0.0329,-0.2155,0.218
0.369877,0.0087,0.0065,-0.1765,0.177
0.374112,0.0158,-0.0052,-0.1366,0.138
0.378445,0.0092,-0.0135,-0.0947,0.096
0.382564,0.0073,-0.0221,-0.0503,0.055
0.390713,0.0003,-0.0232,-0.0330,0.040
0.394818,0.0047,-0.0316,0.0148,0.035
0.399577,-0.0035,-0.0289,0.0583,0.065
0.403626,0.0017,-0.0249,0.1040,0.107
0.407950,0.0003,-0.0109,0.1525,0.153
0.416338,0.0008,-0.0012,0.1750,0.175
0.420502,0.0007,-0.0015,0.2083,0.208
0.424812,-0.0075,-0.0029,0.2356,0.236
0.428605,-0.0684,-0.0400,0.2538,0.266
0.433180,-0.1799,0.2256,0.3944,0.489
0.441475,0.3494,0.4390,1.4954,1.597
0.445902,0.9811,0.7728,4.5780,4.745
0.450387,-2.6649,0.5235,0.9687,2.883
0.454012,-3.1181,0.0643,0.8090,3.222
0.458572,-3.2516,-1.4822,1.4761,3.866
0.462461,-3.4382,-2.1788,-0.2388,4.077
0.471182,-2.8657,-0.7023,-0.3362,2.970
0.475074,-1.7282,0.1960,-0.4844,1.805
0.479639,-1.4390,-0.1247,0.0190,1.445
0.483901,-1.6943,-0.6804,1.4129,2.309
0.487802,-1.3056,-1.0125,2.0643,2.644
0.497034,-1.7297,-0.7463,1.9748,2.729
0.500786,-1.4747,-0.2549,1.5252,2.137
0.504516,-1.7310,-0.2385,0.5734,1.839
0.509354,-2.1025,0.4586,0.6347,2.244
0.513479,-2.8998,0.1085,1.2191,3.147
0.517573,-2.8650,-0.6291,0.9113,3.072
0.526584,-3.0883,-1.1490,1.0366,3.454
0.530646,-2.3968,-0.2719,1.1346,2.666
0.534407,-1.7601,0.0128,1.9843,2.652
0.539005,-1.6855,0.1141,2.4276,2.958
0.544145,-1.9131,-0.3429,2.5797,3.230
0.550966,-2.1615,-1.1850,2.5652,3.558
0.555348,-0.9033,-0.9090,2.1208,2.478
0.559554,-1.0204,-0.7367,1.6708,2.092
0.564254,-2.1622,-0.8716,1.1653,2.606
0.568040,-0.6108,-2.0931,1.4274,2.606
0.576535,3.1354,-0.6250,2.3031,3.940
0.581291,6.9818,0.9651,5.5369,8.963
0.584889,1.0743,1.3942,-0.3705,1.799
0.588825,-1.7674,1.7397,-2.3460,3.414
0.593499,-2.1968,0.9094,1.9555,3.078
0.597906,-2.3263,-0.8207,1.0483,2.680
0.605768,-1.0063,-0.7534,1.8413,2.229
0.610288,-0.4409,1.2614,2.3348,2.690
0.614625,-2.0808,0.5849,-0.0517,2.162
0.619206,-2.5989,0.8816,-0.6824,2.828
0.624896,-2.1827,-0.5460,0.2014,2.259
0.631493,-1.9511,-3.1428,-0.0967,3.700
0.635534,-0.6309,-2.1418,-0.1080,2.235
0.639692,-0.9433,-0.0537,-0.7229,1.190
0.644114,-0.9081,0.2452,-1.5905,1.848
0.648462,0.6487,-0.7514,0.9574,1.379
0.658579,0.7643,0.6793,1.3723,1.711
0.660936,-2.8746,1.6808,-2.3274,4.063
0.667005,-3.4675,1.5830,-3.1624,4.953
0.668865,-2.0039,-1.8186,2.0902,3.419
0.673267,1.9600,-6.5936,8.6870,11.081
0.677459,2.3810,-6.1327,5.0599,8.300
0.686245,0.1807,-0.4395,-2.5361,2.580
0.690933,3.4349,3.6011,-2.6469,5.637
0.694697,3.8805,3.1524,-1.6197,5.255
0.699230,0.0812,1.3218,-4.9584,5.132
0.703414,-1.8478,1.1359,-5.5685,5.976
0.711003,-3.3057,1.2248,-4.4681,5.691
0.715352,-3.1374,-1.2578,1.5541,3.720
0.719895,-3.3375,-2.8703,3.5444,5.652
0.724348,-3.2741,-0.6933,0.6780,3.415
0.728420,-0.7240,3.2019,5.5225,6.425
0.732587,-0.0671,4.7602,7.5442,8.921
0.741070,1.7601,3.6295,4.7441,6.227
0.745181,3.8966,-1.5272,4.6229,6.236
0.750162,1.4309,-2.7805,-1.1438,3.330
0.754127,-1.0485,-1.5916,-3.8675,4.312
0.757888,-2.5686,-0.6503,-4.9564,5.620
0.766379,-2.4597,-0.4412,0.7650,2.613
0.770922,-3.2200,0.7668,-2.4572,4.122
0.774601,-3.3376,-0.0397,-2.6418,4.257
0.779208,-1.9215,0.4938,-0.0662,1.985
0.783269,-0.9009,-0.1551,1.7665,1.989
0.791156,1.6718,-2.8672,4.7918,5.829
0.795399,0.9757,0.3468,4.0429,4.173
0.800513,1.0471,1.0691,1.4791,2.104
0.804445,1.5917,1.1267,-0.4794,2.008
0.808771,-0.1412,-0.3740,-1.4241,1.479
0.812706,-1.7083,-0.5159,-2.8113,3.330
0.821225,-2.6189,2.0865,-1.7797,3.792
0.825467,-2.0508,-1.0079,1.1029,2.537
0.828953,0.7970,-1.7398,2.0764,2.824
0.833444,2.7259,-0.6157,0.5192,2.842
0.837467,0.1937,-0.8234,-0.1805,0.865
0.846284,-3.0637,0.7441,-3.3031,4.566
0.850699,-3.2484,1.1412,-2.3761,4.183
0.854429,-2.3453,0.8418,0.7649,2.607
0.859314,-0.4986,-0.6107,-0.4024,0.885
0.863882,0.0720,1.0019,0.8224,1.298
0.871332,-2.7328,2.8295,-2.4193,4.618
0.875352,-1.0537,-1.6821,1.8566,2.718
0.879816,5.6354,-7.5405,16.0625,18.618
0.884284,2.7831,-6.2341,2.6750,7.332
0.888029,-0.1016,-1.4663,-4.2809,4.526
0.892906,-1.2528,3.1599,-6.5045,7.339
0.901276,1.2110,6.8639,-0.8433,7.021
0.905098,-1.5776,4.9450,-2.1825,5.631
0.909461,-4.1204,2.8957,-5.8555,7.723
0.913758,-2.0658,0.3551,1.4911,2.572
0.918011,-1.0456,-2.3130,5.4929,6.051
0.926563,-2.9130,-2.9848,-2.0590,4.651
0.930631,-0.0775,3.9259,3.8861,5.525
0.946341,10.8039,3.2340,19.2579,22.317
0.946816,3.4154,-0.8572,2.7983,4.498
0.946916,1.3299,-2.0329,-3.1770,3.999
0.948165,-0.6475,-1.1076,-5.3435,5.495
0.956792,-2.0959,1.0011,-4.9212,5.442
0.960777,-2.8553,-0.3813,0.1160,2.883
0.964584,-4.5652,-0.9677,0.7241,4.722
0.968613,-5.4319,-1.6836,1.3813,5.852
0.972989,-4.5659,-1.7596,1.9314,5.261
0.981604,-3.6473,-1.3157,-1.4549,4.141
0.985413,-2.4999,-0.2723,-2.0746,3.260
0.989280,-1.0994,1.0197,-1.1721,1.903
0.993977,-1.6484,2.3846,-0.3849,2.924
0.998288,1.7230,0.8472,4.3237,4.731
1.006457,8.9262,-2.2949,9.7605,13.424
1.010632,1.6429,-0.7567,-3.3612,3.817
1.015344,-2.0927,1.4633,-9.0145,9.369
1.019877,-2.6817,0.5793,-5.7608,6.381
1.023909,-2.1550,-0.9181,1.4299,2.744
1.027802,-4.3492,0.4782,-4.3432,6.165
1.035838,-5.8930,1.2789,-8.7027,10.588
1.042784,-1.7217,-1.2094,2.3113,3.126
1.045169,13.9793,-6.8584,25.0932,29.532
1.052652,6.5328,-4.1003,5.2380,9.323
1.053381,1.1241,-0.1169,-7.5728,7.657
1.061245,0.2159,1.7480,-12.9394,13.059
1.065669,-0.8155,2.0733,-12.9067,13.098
1.069409,-2.7749,2.2312,-10.5433,11.128
1.074643,-4.7305,1.2976,-5.5275,7.390
1.078054,-3.7392,0.3467,8.8521,9.616
1.086454,7.3091,6.8472,27.6525,29.410
1.091119,-1.4518,3.8906,6.9692,8.113
1.094884,-1.1359,-1.1469,-0.2984,1.642
1.099228,0.5000,-2.6553,-6.7247,7.247
1.103929,-0.4679,-2.4568,-7.5269,7.932
1.108186,-2.4455,-0.7886,-7.5771,8.001
1.117628,-0.9787,-2.5306,3.1017,4.121
1.120322,4.5632,2.9705,2.8368,6.140
1.125573,0.4469,0.2573,5.1930,5.218
1.128761,-2.0939,-2.4132,2.9486,4.348
1.132973,-1.9781,-3.6986,-0.5971,4.237
1.141650,0.3140,1.3846,4.3903,4.614
1.146388,3.3922,0.1837,7.6247,8.347
1.152975,-1.4771,-2.2396,-0.1577,2.687
1.155611,-2.2702,-0.0792,-2.0224,3.041
1.163921,-3.1413,1.9243,-3.2851,4.936
1.164416,-4.5286,2.1200,-5.5863,7.497
1.170822,-5.5872,2.0176,-6.6868,8.944
1.175151,-4.5981,1.0646,-3.8447,6.088
1.179626,5.6111,-4.5123,13.5803,15.371
1.183688,10.1121,-5.6656,23.3348,26.055
1.187599,2.5756,-0.8205,2.9818,4.025
1.196007,2.0327,-0.0972,-10.2292,10.430
1.201518,2.0054,-1.2677,-11.3000,11.546
1.204931,0.7555,-0.7050,-12.8363,12.878
1.209349,-0.8904,0.9369,-7.0704,7.188
1.213497,-2.4887,3.0066,-0.0509,3.903
1.222199,-3.2733,4.9422,0.9477,6.003
1.225930,-3.0888,4.3568,-1.1545,5.464
1.229713,-2.5942,1.9682,-3.0260,4.445
1.234654,-0.1047,1.6213,1.2638,2.058
1.238612,5.1560,-2.9331,13.2623,14.528
1.242905,5.1614,-3.9426,7.8010,10.151
1.251886,-0.6306,-0.5789,3.0171,3.136
1.257204,-2.5151,1.4098,-3.8460,4.807
1.260779,-2.7976,2.7353,-6.4838,7.573
1.263801,-2.6551,1.1038,-3.7519,4.727
1.267491,-2.5874,-0.4733,-4.9876,5.639
1.275846,-0.7629,-2.3411,4.5621,5.184
1.280457,-0.3377,0.8564,10.5701,10.610
1.285130,-3.6471,0.9232,-3.3409,5.031
1.289145,-3.0721,-0.4135,-4.9538,5.844
1.293886,-0.8328,1.1448,0.8850,1.670
1.302285,2.3430,-3.0955,11.8111,12.433
1.305992,18.1361,-7.6117,27.9363,34.166
1.310746,4.1763,-5.9084,-0.9612,7.299
1.314921,1.4120,0.9832,-10.4145,10.556
1.318674,0.4350,2.7457,-11.8416,12.164
