time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.002635,-4.5293,-1.7434,-4.1358,6.376
3.00738,-3.4794,-1.6898,-7.759,8.67
3.015766,-2.4691,0.8529,-3.3947,4.283
3.019649,-1.8059,2.8486,1.9726,3.907
3.024081,-0.2731,2.6199,2.6566,3.741
3.02826,0.7142,-0.222,0.1017,0.755
3.032428,2.0588,-1.4668,4.6146,5.262
3.040707,3.998,-4.1373,8.0728,9.913
3.045373,3.3107,-4.0294,-2.7172,5.88
3.049046,2.0931,-2.4546,2.0846,3.841
3.0533,0.7242,-1.0199,3.94,4.134
3.057673,-0.1615,-0.4013,1.0179,1.106
3.066097,1.626,0.0913,1.1456,1.991
3.070367,3.5249,0.4343,2.9245,4.601
3.07465,2.6521,0.73,-1.9508,3.372
3.078551,1.3891,1.6183,-2.9039,3.603
3.082727,0.71,2.4389,0.5728,2.604
3.087114,-0.1261,2.1536,-0.2765,2.175
3.095646,-0.5985,0.3687,-5.3047,5.351
3.103452,0.0586,-0.4557,-5.2857,5.306
3.103842,0.0624,-1.427,-7.1038,7.246
3.108074,1.6401,-1.3906,-3.9718,4.517
3.112172,3.8759,0.7556,4.4087,5.919
3.120801,3.7762,1.9769,-4.0293,5.865
3.125072,1.3407,2.5403,-5.6213,6.313
3.129334,-0.8672,3.2096,0.6724,3.392
3.134013,-1.7569,2.4374,1.0037,3.168
3.137232,-1.2648,0.7485,-3.161,3.486
3.146189,-1.6165,-0.5799,-12.9284,13.042
3.151155,-1.5454,-1.6594,-8.3121,8.616
3.15458,-0.2189,-2.7006,-0.9109,2.858
3.159167,2.3977,-1.636,-0.7159,2.99
3.163092,2.6333,0.301,1.1646,2.895
3.168203,4.4762,0.9512,7.3184,8.631
3.175519,5.506,2.8872,4.8277,7.871
3.179795,6.0967,2.2108,-6.5594,9.224
3.184883,7.4249,2.378,2.5411,8.2
3.188948,3.8251,0.7737,5.4371,6.693
3.196585,1.8013,-1.9216,10.1694,10.505
3.200939,0.5971,-2.2594,10.161,10.426
3.205217,-0.7411,-0.7071,-4.0625,4.19
3.209491,-2.9735,0.0669,-1.1512,3.189
3.21337,-4.6799,1.7381,4.4813,6.709
3.217186,-5.576,-0.3856,4.9297,7.453
3.221542,-4.9714,-2.0276,2.578,5.956
3.230445,-4.0959,-1.6975,-0.0583,4.434
3.234647,-3.2275,-1.9515,-3.9695,5.476
3.238682,-2.5853,-1.8683,-3.5171,4.748
3.243009,-2.1774,-0.6274,-3.8169,4.439
3.247038,-1.5579,0.0425,-4.2484,4.525
3.2553,-1.1514,-0.1764,-5.7851,5.901
3.260322,-0.3749,0.9359,-1.4014,1.726
3.264213,1.3327,2.0186,4.0974,4.758
3.268332,2.4412,2.4232,1.595,3.791
3.272743,4.0241,1.5621,-0.4812,4.343
3.281017,5.0118,0.2225,0.8544,5.089
3.285779,2.4185,-0.3235,-1.1133,2.682
3.289693,1.4115,-0.044,-4.7887,4.993
3.295348,0.6813,0.0037,-5.6546,5.696
3.297222,0.0496,0.2529,-3.3212,3.331
3.301635,-0.6356,0.2926,-5.0479,5.096
3.310559,-0.7869,0.7395,-5.1736,5.285
3.314653,-0.9511,1.188,-5.1876,5.406
3.319006,0.3204,0.2761,2.3907,2.428
3.323189,0.301,-2.5139,10.2366,10.545
3.327265,0.0887,1.6439,7.7478,7.921
3.335859,-1.3277,4.2933,9.7425,10.729
3.3399,0.7951,2.6929,9.3315,9.745
3.344244,0.8449,0.3307,4.3275,4.422
3.348501,1.1422,-1.1728,-2.8629,3.298
3.352812,1.6373,-1.8317,-5.7123,6.218
3.361271,2.6406,-0.6857,-4.567,5.32
3.365364,1.5559,-0.1367,-4.3453,4.617
3.369559,0.3977,-1.7896,-7.9968,8.204
3.373254,-1.6876,-0.5571,-3.9129,4.298
3.377509,-3.6386,0.1418,2.7005,4.533
3.381619,-1.9025,0.911,9.4639,9.696
3.390755,-1.7788,2.5222,0.598,3.144
3.394897,-1.292,0.763,2.5344,2.945
3.399044,-0.5097,0.6231,-2.1597,2.305
3.403147,-0.1451,-0.8724,-5.4872,5.558
3.407693,0.6854,-2.1557,-4.9753,5.465
3.415495,2.3001,-1.1212,-3.9457,4.703
3.419972,2.5487,-0.4494,-4.4728,5.168
3.4261,1.8985,0.6041,-1.6028,2.557
3.428662,1.0869,2.7335,1.2771,3.207
3.433236,3.161,1.4601,5.3982,6.424
3.436958,5.2917,-1.2155,13.6678,14.707
3.445369,0.3696,0.6585,3.9291,4.001
