time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.004059,-8.3821,0.783,4.9776,9.78
2.004609,-2.9651,0.8937,3.0086,4.318
2.008275,3.6144,-0.2566,5.9408,6.959
2.016611,5.01,-0.9203,6.0345,7.897
2.020852,3.9865,-1.8366,4.0876,5.998
2.025121,-3.6455,-2.6006,-10.1432,11.088
2.029164,1.1392,-0.9367,-5.9187,6.1
2.033177,3.0104,2.5752,4.9085,6.308
2.037206,-4.1217,4.0354,3.668,6.836
2.045983,-4.7689,2.0325,-7.1983,8.871
2.050473,0.0845,-2.0439,-4.8909,5.301
2.054628,8.9377,-3.4602,8.4455,12.774
2.058839,10.7252,-3.0204,8.7969,14.196
2.062991,11.8038,-1.7979,10.027,15.592
2.071357,3.2546,-1.8507,-4.826,6.108
2.076818,-0.0877,0.0152,-6.9771,6.978
2.079636,-8.9574,3.1416,-5.1785,10.813
2.084222,-6.4269,3.9887,-2.124,7.857
2.08834,-3.7005,-0.3771,-5.0253,6.252
2.097164,1.5269,-3.3682,0.1152,3.7
2.10156,0.2816,-3.221,-3.4752,4.747
2.105578,-4.3789,-0.9588,-10.5192,11.435
2.113379,-2.5391,2.1674,-2.6554,4.266
2.114702,-1.529,5.4999,10.1264,11.625
2.11816,-5.9727,6.2812,6.2454,10.683
2.16168,-0.8753,1.9582,-10.8087,11.019
2.162782,8.8058,-2.5462,-2.6752,9.549
2.163178,8.7844,-1.5148,7.0992,11.396
2.16334,3.1277,1.0706,1.0434,3.467
2.163451,-4.5881,-0.414,-5.4042,7.101
2.163608,-2.41,-4.1761,0.2387,4.828
2.163803,4.0977,-2.6207,-2.1198,5.306
2.163961,-6.1386,1.9576,-0.3063,6.45
2.164106,1.0485,3.1864,6.4086,7.233
2.168366,10.6404,-0.5291,10.2249,14.766
2.174247,8.9828,-1.6621,9.8986,13.47
2.181039,-7.3098,1.1901,-6.7043,9.99
2.185303,-2.4766,3.2598,-6.4456,7.636
2.189739,-5.4672,3.361,-5.0569,8.171
2.193604,-6.0297,1.6117,-1.7154,6.473
2.197689,-7.8303,-0.2074,-2.6595,8.272
2.208886,-6.4235,-3.3026,-1.6025,7.398
2.210654,7.7481,-3.0105,11.0252,13.808
2.219377,9.7666,2.4721,13.0366,16.476
2.219824,6.3136,4.5362,9.3481,12.158
2.224625,1.4895,4.2956,3.6255,5.815
2.231509,-6.6554,3.1542,-9.5952,12.096
2.235433,-4.9577,1.4273,-13.2321,14.202
2.242023,-0.9534,-0.2256,-12.5931,12.631
2.244771,-2.4633,-1.2272,-6.9165,7.444
2.254577,3.1028,-1.6158,3.2633,4.784
2.255485,3.7246,-2.5099,1.6948,4.8
2.262915,-1.8391,-2.4544,-10.7592,11.188
2.265489,-4.5681,-2.1536,-8.503,9.89
2.269482,-8.2838,2.8266,9.5072,12.923
2.27339,-7.5234,0.3067,14.223,16.093
2.277581,3.1182,-2.9189,3.8342,5.74
2.287403,10.3887,-4.0807,15.5016,19.102
2.290869,12.4261,-1.9385,16.6276,20.848
2.295278,4.3241,0.1815,-5.8721,7.295
2.299009,-4.0827,0.6482,-10.719,11.489
2.306315,-0.8192,0.0737,-10.1495,10.183
2.308395,-1.0553,-2.8693,-0.5728,3.11
2.319259,2.4904,-2.7623,4.3075,5.691
2.320447,1.1925,-5.1364,-3.9449,6.585
2.328434,-0.4929,-0.7742,-4.0538,4.156
2.328823,-7.6476,3.9918,2.7868,9.066
2.338966,-6.7093,0.2656,0.7951,6.761
2.347842,2.0773,-1.5224,0.7495,2.682
2.348462,10.0254,0.2703,15.696,18.626
2.349498,0.0183,2.1306,-1.5835,2.655
2.35392,-4.1328,0.4627,-5.3794,6.799
2.357894,-4.9954,0.7965,-7.3529,8.925
2.366756,-7.7058,-0.7027,-5.5235,9.507
2.370796,-5.4001,-3.8856,-2.7897,7.214
2.37549,5.1752,-2.8875,3.3879,6.826
2.379295,8.09,-0.7755,1.9919,8.368
2.383537,6.2209,-0.3183,-1.9175,6.518
2.38775,7.404,0.7063,7.8072,10.783
2.395631,-1.8144,1.003,-1.3266,2.461
2.400405,-1.3446,0.5895,-5.0261,5.236
2.404556,-0.967,1.4107,-4.7849,5.081
2.411776,-0.384,-0.9916,-0.374,1.127
2.412961,3.351,-2.1056,1.7305,4.319
2.42139,-4.5957,1.0096,-1.1014,4.832
2.42692,-4.5011,2.9925,4.2976,6.905
2.429773,1.5708,1.5554,6.774,7.126
2.433887,3.0757,-1.7989,3.1722,4.771
2.437665,2.1633,-2.7823,-1.1931,3.721
2.446734,0.4046,-2.8838,-2.0455,3.559
2.451176,-0.4731,0.4873,-1.5385,1.682
