time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.000489,0.007,0.005,0.0051,0.01
3.005219,0.0084,0.0001,0.0021,0.009
3.015884,0.0026,0.0002,-0.0074,0.008
3.018268,-0.0027,0.0002,-0.0044,0.005
3.025204,-0.0038,-0.001,-0.0032,0.005
3.026026,-0.0033,-0.0066,-0.0016,0.008
3.030023,-0.0008,-0.0092,-0.0043,0.01
3.034719,0.0089,-0.013,0.0034,0.016
3.042136,-0.0071,0.0049,-0.0041,0.01
3.046725,-0.0063,0.0043,-0.0081,0.011
3.051116,-0.0041,0.0004,0.0011,0.004
3.055985,-0.0045,0.0004,0.0049,0.007
3.059789,0.0012,0.0004,-0.0029,0.003
3.068087,0.0025,0.0004,-0.0041,0.005
3.073212,-0.0023,0.0009,-0.0003,0.003
3.076685,-0.0023,0.0024,-0.0033,0.005
3.080803,-0.0022,-0.002,0.0034,0.005
3.085215,-0.0022,-0.0026,-0.0135,0.014
3.093425,-0.0062,-0.0002,-0.0101,0.012
3.097726,0.0029,0.0051,0.0008,0.006
3.102017,0.0064,0.0026,-0.0028,0.007
3.106406,0.0765,0.0022,-0.0049,0.077
3.110474,0.5283,0.2791,0.2573,0.651
3.11579,0.0797,-0.4655,1.6319,1.699
3.125641,2.915,-1.246,1.3995,3.465
3.126512,2.4925,-0.5993,3.5878,4.41
3.131137,4.4858,-0.7547,1.6617,4.843
3.13549,4.2537,0.0918,2.4863,4.928
3.140483,2.9016,1.2207,-1.9337,3.694
3.148127,1.8408,2.0883,-6.2459,6.838
3.152335,-1.1041,-0.4229,1.4103,1.84
3.157414,-5.5351,-1.7333,3.6796,6.869
3.160843,-0.4618,-1.0002,5.2781,5.392
3.164939,2.4135,0.2394,0.7635,2.543
3.173733,2.2462,0.8555,-0.9943,2.601
3.177769,2.2691,0.6484,-2.3553,3.334
3.181961,2.0759,0.3334,-0.4247,2.145
3.186042,1.0244,1.0733,-1.4557,2.079
3.190579,-0.8065,0.0578,0.7385,1.095
3.194474,-1.2196,-0.5562,0.5131,1.435
3.20296,-2.2122,0.6914,-3.0349,3.819
3.206913,-0.1245,-1.1143,-0.487,1.222
3.211379,0.683,0.1642,0.6702,0.971
3.215838,0.3253,0.4707,-1.9032,1.987
3.220132,-0.0241,0.3987,2.4918,2.524
3.229556,-1.2989,0.1717,-3.0663,3.334
3.232179,-0.823,-0.0091,1.1578,1.421
3.236643,0.0515,-0.2798,0.2994,0.413
3.240636,0.4236,0.4295,-0.5334,0.805
3.245421,0.5277,0.2954,-0.18,0.631
3.249054,0.4287,0.6426,0.0569,0.775
3.257571,1.6012,-0.2969,-1.5193,2.227
3.262579,1.019,0.6079,2.3577,2.639
3.266156,1.4171,-0.338,-1.6643,2.212
3.270546,1.2634,0.8637,2.8333,3.22
3.274365,1.0376,-0.3399,0.6658,1.279
3.282694,1.68,-0.9998,-0.8838,2.145
3.28676,-0.1859,0.2691,-1.1126,1.16
3.29163,-0.365,0.2275,-0.155,0.457
3.296543,1.0213,0.4391,0.8893,1.424
3.300324,0.7773,1.0386,2.0062,2.389
3.308636,1.831,-0.9396,0.2207,2.07
3.316276,-1.1099,0.5425,-0.0724,1.237
3.317095,-1.2732,-0.8211,2.9116,3.282
3.321641,-1.5595,-0.0354,1.9033,2.461
3.325887,-2.0358,0.3276,-3.0842,3.71
3.329488,-1.4878,-0.6707,-1.9602,2.551
3.337653,-0.1355,-0.4443,-1.3543,1.432
3.34206,0.2375,-0.3929,-1.2787,1.359
3.346118,1.1436,0.5601,-1.1225,1.698
3.350513,1.5212,0.2196,1.03,1.85
